run,t_s,distance_to_boundary_m,label,confidence,band
semantic_frontier_run2,21.1,0.496,bedrock,0.543,0.3-0.6m
semantic_frontier_run2,26.18,0.693,soil,0.747,0.6-1.0m
semantic_frontier_run2,29.93,0.722,soil,0.561,0.6-1.0m
semantic_frontier_run2,34.0,0.699,soil,0.582,0.6-1.0m
semantic_frontier_run2,37.85,0.657,soil,0.684,0.6-1.0m
semantic_frontier_run2,41.18,0.646,sand,0.53,0.6-1.0m
semantic_frontier_run2,45.3,0.585,sand,0.636,0.3-0.6m
semantic_frontier_run2,54.8,0.515,sand,0.638,0.3-0.6m
semantic_frontier_run2,61.33,0.473,sand,0.528,0.3-0.6m
semantic_frontier_run2,65.87,0.493,soil,0.739,0.3-0.6m
semantic_frontier_run2,73.37,0.601,soil,0.613,0.6-1.0m
semantic_frontier_run2,82.84,0.804,bedrock,0.904,0.6-1.0m
semantic_frontier_run2,89.99,1.121,soil,0.569,1.0-2.0m
semantic_frontier_run2,95.23,1.329,soil,0.628,1.0-2.0m
semantic_frontier_run2,100.65,1.515,bedrock,0.798,1.0-2.0m
semantic_frontier_run2,106.22,1.581,bedrock,0.744,1.0-2.0m
semantic_frontier_run2,110.12,1.567,bedrock,0.915,1.0-2.0m
semantic_frontier_run2,120.4,1.504,bedrock,0.938,1.0-2.0m
semantic_frontier_run2,125.89,1.491,bedrock,0.568,1.0-2.0m
semantic_frontier_run2,130.38,1.453,bedrock,0.466,1.0-2.0m
semantic_frontier_run2,134.3,1.315,soil,0.686,1.0-2.0m
semantic_frontier_run2,138.67,1.114,soil,0.472,1.0-2.0m
semantic_frontier_run2,142.9,1.054,sand,0.567,1.0-2.0m
semantic_frontier_run2,152.07,1.041,sand,0.408,1.0-2.0m
semantic_frontier_run2,155.35,1.036,bedrock,0.549,1.0-2.0m
semantic_frontier_run2,158.44,1.065,bedrock,0.509,1.0-2.0m
semantic_frontier_run2,161.36,1.064,bedrock,0.692,1.0-2.0m
semantic_frontier_run2,164.83,1.168,bedrock,0.7,1.0-2.0m
semantic_frontier_run2,169.79,1.402,soil,0.603,1.0-2.0m
semantic_frontier_run2,174.22,1.53,soil,0.609,1.0-2.0m
semantic_frontier_run2,179.38,1.569,bedrock,0.51,1.0-2.0m
semantic_frontier_run2,185.17,1.569,bedrock,0.752,1.0-2.0m
semantic_frontier_run2,188.9,1.534,bedrock,0.751,1.0-2.0m
semantic_frontier_run2,192.16,1.397,bedrock,0.568,1.0-2.0m
semantic_frontier_run2,195.46,1.218,soil,0.587,1.0-2.0m
semantic_frontier_run2,199.14,1.209,sand,0.451,1.0-2.0m
semantic_frontier_run2,204.85,1.165,bedrock,0.536,1.0-2.0m
semantic_frontier_run2,209.56,1.131,bedrock,0.479,1.0-2.0m
semantic_frontier_run2,218.22,1.151,bedrock,0.948,1.0-2.0m
semantic_frontier_run2,223.78,1.189,bedrock,0.722,1.0-2.0m
semantic_frontier_run2,230.97,1.382,bedrock,0.613,1.0-2.0m
semantic_frontier_run2,235.72,1.595,bedrock,0.791,1.0-2.0m
semantic_frontier_run2,239.72,1.606,bedrock,0.653,1.0-2.0m
semantic_frontier_run2,247.8,1.69,bedrock,0.716,1.0-2.0m
semantic_frontier_run2,253.74,1.763,bedrock,0.516,1.0-2.0m
semantic_frontier_run2,257.88,1.804,soil,0.581,1.0-2.0m
semantic_frontier_run2,261.65,1.808,bedrock,0.406,1.0-2.0m
semantic_frontier_run2,266.83,1.802,bedrock,0.587,1.0-2.0m
semantic_frontier_run2,271.41,1.774,uncertain,0.372,1.0-2.0m
semantic_frontier_run2,279.29,1.501,soil,0.823,1.0-2.0m
semantic_frontier_run2,283.88,1.223,soil,0.644,1.0-2.0m
semantic_frontier_run2,288.09,1.158,soil,0.636,1.0-2.0m
semantic_frontier_run2,292.79,1.118,sand,0.507,1.0-2.0m
semantic_frontier_run2,297.93,1.046,sand,0.471,1.0-2.0m
semantic_frontier_run2,303.8,1.044,bedrock,0.561,1.0-2.0m
semantic_frontier_run2,316.77,1.044,bedrock,0.877,1.0-2.0m
semantic_frontier_run2,322.36,1.044,bedrock,0.651,1.0-2.0m
semantic_frontier_run2,329.11,1.044,soil,0.671,1.0-2.0m
semantic_frontier_run2,333.7,1.044,soil,0.535,1.0-2.0m
semantic_frontier_run2,338.23,1.044,bedrock,0.821,1.0-2.0m
semantic_frontier_run2,343.44,1.044,bedrock,0.913,1.0-2.0m
semantic_frontier_run2,351.18,1.044,soil,0.589,1.0-2.0m
semantic_frontier_run2,355.38,1.044,soil,0.7,1.0-2.0m
semantic_frontier_run2,361.54,1.044,bedrock,0.682,1.0-2.0m
semantic_frontier_run2,367.25,1.044,soil,0.543,1.0-2.0m
semantic_frontier_run2,371.88,1.044,bedrock,0.771,1.0-2.0m
semantic_frontier_run2,377.03,1.044,bedrock,0.56,1.0-2.0m
semantic_frontier_run2,380.89,1.044,bedrock,0.751,1.0-2.0m
semantic_frontier_run2,386.57,1.044,bedrock,0.837,1.0-2.0m
reobservation_official,-9.25,0.746,bedrock,0.757,0.6-1.0m
reobservation_official,-3.14,0.746,soil,0.738,0.6-1.0m
reobservation_official,3.72,0.744,soil,0.741,0.6-1.0m
reobservation_official,7.85,0.738,soil,0.719,0.6-1.0m
reobservation_official,17.37,0.617,sand,0.554,0.6-1.0m
reobservation_official,22.0,0.48,sand,0.726,0.3-0.6m
reobservation_official,25.65,0.449,soil,0.608,0.3-0.6m
reobservation_official,30.56,0.394,sand,0.745,0.3-0.6m
reobservation_official,34.12,0.352,sand,0.65,0.3-0.6m
reobservation_official,37.99,0.316,bedrock,0.574,0.3-0.6m
reobservation_official,43.88,0.324,soil,0.708,0.3-0.6m
reobservation_official,49.27,0.364,bedrock,0.587,0.3-0.6m
reobservation_official,52.02,0.442,bedrock,0.661,0.3-0.6m
reobservation_official,54.52,0.52,bedrock,0.689,0.3-0.6m
reobservation_official,57.15,0.541,bedrock,0.651,0.3-0.6m
reobservation_official,60.0,0.539,bedrock,0.538,0.3-0.6m
reobservation_official,62.69,0.612,bedrock,0.733,0.6-1.0m
reobservation_official,65.76,0.635,bedrock,0.618,0.6-1.0m
reobservation_official,67.55,0.681,soil,0.707,0.6-1.0m
reobservation_official,69.2,0.686,soil,0.569,0.6-1.0m
reobservation_official,75.76,0.748,sand,0.461,0.6-1.0m
reobservation_official,80.29,0.747,soil,0.485,0.6-1.0m
reobservation_official,84.81,0.726,soil,0.572,0.6-1.0m
reobservation_official,89.05,0.612,sand,0.56,0.6-1.0m
reobservation_official,92.93,0.563,sand,0.503,0.3-0.6m
reobservation_official,96.7,0.533,sand,0.525,0.3-0.6m
reobservation_official,99.97,0.521,sand,0.537,0.3-0.6m
reobservation_official,102.82,0.464,sand,0.607,0.3-0.6m
reobservation_official,107.98,0.392,sand,0.522,0.3-0.6m
reobservation_official,110.6,0.392,sand,0.686,0.3-0.6m
reobservation_official,113.24,0.351,sand,0.798,0.3-0.6m
reobservation_official,115.92,0.329,sand,0.564,0.3-0.6m
reobservation_official,118.78,0.277,sand,0.699,0.0-0.3m
reobservation_official,121.62,0.267,sand,0.667,0.0-0.3m
reobservation_official,125.02,0.258,soil,0.474,0.0-0.3m
reobservation_official,127.79,0.235,bedrock,0.591,0.0-0.3m
reobservation_official,130.46,0.238,soil,0.624,0.0-0.3m
reobservation_official,133.8,0.258,soil,0.542,0.0-0.3m
reobservation_official,143.48,0.294,bedrock,0.891,0.0-0.3m
reobservation_official,147.23,0.364,soil,0.544,0.3-0.6m
