result,accuracy_pct,n,k_correct,ci95_lower_pct,ci95_upper_pct,half_width_pp,source
CLIP zero-shot (v1),34.8,287,100,29.56,40.52,5.48,"§4.2, Exp 1"
CLIP prompt engineering (v9),54.4,287,156,48.57,60.02,5.72,"§4.3, Exp 2"
DINOv2+reg ViT-S 1000-shot (deployed),90.24,287,259,86.26,93.16,3.45,"§4.7.21, Exp 7"
DINOv2 ViT-L 1000-shot,93.73,287,269,90.3,96.0,2.85,"§4.7.21, Exp 7"
Ensemble B (DINOv2 ViT-L+ViT-B),94.43,287,271,91.14,96.54,2.7,"§4.7.21/§4.7.28, Exp 7"
Supervised DeepLabv3+ ceiling,96.67,287,277,93.71,98.1,2.2,"Swan et al. 2021, ceiling"
Mars-Bench zero-shot transfer,24.94,1594,398,22.91,27.15,2.12,"§4.7.32, Exp 10"
Mars-Bench in-domain probe,84.07,1594,1340,82.19,85.78,1.8,"§4.7.33, Exp 10"
E1 joint probe @ AI4Mars (mapped),86.41,810,700,83.89,88.61,2.36,"§4.7.34, Exp E1"
E1 joint probe @ Mars-Bench (mapped),91.98,810,745,89.9,93.65,1.88,"§4.7.34, Exp E1"
Real ExoMy hardware (Exp 5b),20.0,20,4,8.07,41.6,16.77,"§4.8.12, Exp 5b"
Earth+Mars: mars_only@mars (sanity gate),97.19,498,484,95.34,98.32,1.49,"§4.8.34, Exp H22"
Earth+Mars: earth_only@earth (sanity gate),96.68,512,495,94.75,97.92,1.58,"§4.8.34, Exp H22"
Earth+Mars: earth_only@mars (transfer),13.45,498,67,10.73,16.73,3.0,"§4.8.34, Exp H22"
Earth+Mars: mars_only@earth (transfer),35.74,512,183,31.71,39.99,4.14,"§4.8.34, Exp H22"
Earth+Mars: joint@mars,96.39,498,480,94.36,97.7,1.67,"§4.8.34, Exp H22"
Earth+Mars: joint@earth,95.31,512,488,93.12,96.83,1.86,"§4.8.34, Exp H22"
