image_index,true_label,dinov2_pred,clip_pred,disagree,dinov2_wrong
0,1,1,1,False,False
1,1,1,1,False,False
2,1,1,1,False,False
3,1,1,1,False,False
4,0,0,0,False,False
5,0,0,0,False,False
6,0,0,0,False,False
7,0,0,0,False,False
8,0,0,0,False,False
9,0,0,0,False,False
10,0,0,2,True,False
11,0,0,0,False,False
12,0,0,0,False,False
13,0,0,2,True,False
14,0,0,0,False,False
15,0,0,0,False,False
16,0,0,0,False,False
17,0,0,0,False,False
18,0,0,0,False,False
19,0,0,0,False,False
20,0,0,0,False,False
21,0,0,0,False,False
22,0,0,0,False,False
23,0,0,0,False,False
24,0,0,0,False,False
25,0,0,0,False,False
26,0,0,0,False,False
27,0,0,0,False,False
28,1,1,0,True,False
29,1,1,1,False,False
30,1,1,1,False,False
31,1,1,0,True,False
32,1,0,0,False,True
33,0,0,0,False,False
34,0,0,0,False,False
35,0,0,0,False,False
36,0,0,0,False,False
37,0,0,0,False,False
38,0,1,0,True,True
39,0,0,0,False,False
40,0,0,0,False,False
41,0,0,0,False,False
42,0,0,0,False,False
43,0,0,0,False,False
44,0,0,0,False,False
45,0,0,0,False,False
46,0,0,0,False,False
47,0,0,0,False,False
48,0,0,0,False,False
49,0,0,0,False,False
50,0,0,0,False,False
51,0,0,0,False,False
52,0,0,0,False,False
53,0,0,0,False,False
54,0,0,0,False,False
55,0,0,0,False,False
56,0,0,0,False,False
57,0,0,0,False,False
58,0,0,0,False,False
59,0,0,0,False,False
60,0,0,0,False,False
61,0,0,0,False,False
62,0,0,0,False,False
63,0,0,0,False,False
64,0,0,0,False,False
65,0,0,0,False,False
66,0,0,0,False,False
67,0,0,0,False,False
68,0,0,0,False,False
69,0,0,0,False,False
70,0,0,0,False,False
71,0,0,0,False,False
72,0,0,0,False,False
73,0,0,0,False,False
74,0,0,0,False,False
75,0,0,0,False,False
76,0,0,0,False,False
77,0,0,0,False,False
78,0,0,0,False,False
79,0,0,0,False,False
80,0,0,0,False,False
81,0,0,0,False,False
82,0,0,0,False,False
83,0,0,0,False,False
84,0,0,0,False,False
85,0,0,0,False,False
86,2,2,2,False,False
87,2,2,2,False,False
88,2,2,2,False,False
89,2,2,2,False,False
90,2,2,2,False,False
91,2,2,2,False,False
92,2,2,2,False,False
93,0,0,0,False,False
94,0,0,0,False,False
95,0,0,0,False,False
96,0,0,0,False,False
97,0,0,0,False,False
98,1,1,1,False,False
99,2,2,2,False,False
100,1,1,1,False,False
101,1,1,1,False,False
102,1,1,1,False,False
103,1,1,1,False,False
104,1,2,0,True,True
105,2,2,2,False,False
106,2,2,0,True,False
107,0,0,0,False,False
108,0,0,0,False,False
109,0,0,0,False,False
110,0,0,0,False,False
111,1,1,1,False,False
112,1,1,1,False,False
113,1,1,0,True,False
114,1,1,1,False,False
115,2,2,2,False,False
116,1,1,1,False,False
117,1,1,0,True,False
118,2,1,2,True,True
119,1,1,1,False,False
120,2,2,2,False,False
121,1,1,1,False,False
122,1,2,1,True,True
123,2,2,1,True,False
124,1,2,1,True,True
125,2,1,2,True,True
126,2,1,0,True,True
127,1,1,1,False,False
128,1,1,1,False,False
129,1,1,1,False,False
130,1,1,1,False,False
131,1,0,1,True,True
132,1,1,1,False,False
133,1,1,1,False,False
134,2,2,2,False,False
135,2,2,2,False,False
136,2,2,2,False,False
137,2,2,2,False,False
138,2,2,2,False,False
139,2,2,2,False,False
140,2,1,1,False,True
141,1,1,1,False,False
142,1,2,1,True,True
143,2,2,2,False,False
144,2,1,1,False,True
145,2,2,2,False,False
146,1,1,1,False,False
147,1,1,1,False,False
148,2,2,2,False,False
149,2,2,2,False,False
150,2,2,2,False,False
151,2,2,2,False,False
152,2,2,2,False,False
153,1,1,1,False,False
154,2,2,2,False,False
155,1,1,1,False,False
156,1,1,1,False,False
157,1,1,1,False,False
158,1,1,1,False,False
159,1,1,1,False,False
160,1,1,1,False,False
161,1,2,1,True,True
162,1,1,1,False,False
163,1,1,1,False,False
164,1,1,1,False,False
165,1,1,1,False,False
166,1,1,1,False,False
167,1,1,1,False,False
168,1,1,1,False,False
169,1,1,2,True,False
170,1,1,1,False,False
171,2,1,1,False,True
172,1,1,1,False,False
173,1,1,1,False,False
174,1,1,1,False,False
175,1,1,2,True,False
176,1,1,1,False,False
177,1,1,1,False,False
178,1,1,1,False,False
179,1,1,1,False,False
180,2,2,2,False,False
181,2,2,2,False,False
182,2,2,2,False,False
183,1,2,2,False,True
184,2,2,2,False,False
185,2,2,2,False,False
186,2,2,2,False,False
187,2,2,2,False,False
188,2,2,2,False,False
189,2,2,2,False,False
190,2,2,2,False,False
191,2,2,2,False,False
192,2,2,2,False,False
193,2,2,2,False,False
194,2,2,2,False,False
195,2,2,2,False,False
196,2,2,2,False,False
197,2,2,2,False,False
198,2,1,1,False,True
199,1,1,1,False,False
200,1,1,1,False,False
201,1,1,2,True,False
202,1,1,1,False,False
203,1,1,2,True,False
204,2,2,2,False,False
205,2,2,2,False,False
206,2,2,2,False,False
207,2,2,2,False,False
208,2,2,2,False,False
209,2,2,2,False,False
210,2,2,2,False,False
211,2,2,2,False,False
212,2,1,2,True,True
213,2,2,2,False,False
214,2,2,2,False,False
215,2,2,2,False,False
216,2,2,2,False,False
217,2,2,2,False,False
218,2,2,1,True,False
219,2,2,1,True,False
220,1,1,1,False,False
221,1,1,1,False,False
222,1,1,1,False,False
223,1,1,0,True,False
224,1,1,1,False,False
225,1,1,0,True,False
226,1,1,1,False,False
227,1,1,1,False,False
228,1,1,1,False,False
229,1,1,1,False,False
230,1,1,1,False,False
231,1,1,1,False,False
232,1,1,1,False,False
233,1,1,1,False,False
234,1,1,1,False,False
235,1,1,0,True,False
236,0,0,0,False,False
237,0,0,0,False,False
238,0,0,0,False,False
239,0,0,0,False,False
240,0,0,0,False,False
241,0,0,0,False,False
242,0,0,0,False,False
243,0,0,0,False,False
244,0,0,0,False,False
245,1,0,0,False,True
246,0,0,0,False,False
247,0,0,0,False,False
248,0,0,0,False,False
249,0,0,0,False,False
250,0,0,0,False,False
251,0,0,0,False,False
252,0,0,0,False,False
253,0,0,0,False,False
254,0,0,0,False,False
255,0,0,0,False,False
256,0,2,0,True,True
257,0,0,0,False,False
258,1,0,1,True,True
259,1,0,0,False,True
260,0,2,2,False,True
261,0,0,1,True,False
262,1,1,1,False,False
263,0,0,0,False,False
264,0,0,0,False,False
