image,ground_truth,gt_idx,pred_hf,pred_hf_idx,conf_hf,pred_numpy,pred_numpy_idx,conf_numpy,feature_cosine,max_abs_pixel_diff,pred_fp32,pred_fp32_idx,conf_fp32,cosine_fp32_vs_int8hf,cosine_fp32_vs_int8numpy
NLA_409036116EDR_F0051606NCAM00348M1,bedrock,1,bedrock,1,0.99964,bedrock,1,0.9997,0.99362648,1.937e-07,bedrock,1,0.999552,0.90573114,0.9058857
NLA_409036860EDR_F0051662NCAM00346M1,bedrock,1,sand,2,0.490385,bedrock,1,0.46846,0.97623992,4.768e-07,bedrock,1,0.471921,0.83430445,0.84494853
NLA_409036993EDR_F0051662NCAM05703M1,bedrock,1,bedrock,1,0.774826,bedrock,1,0.723312,0.98858583,1.937e-07,bedrock,1,0.923854,0.88573301,0.89378232
NLA_409037112EDR_F0051662NCAM05703M1,bedrock,1,bedrock,1,0.998823,bedrock,1,0.998579,0.98906136,1.937e-07,bedrock,1,0.998561,0.93615127,0.94516706
NLA_601414568EDR_F0731482NCAM00253M1,soil,0,soil,0,0.89335,soil,0,0.914802,0.97240382,1.937e-07,soil,0,0.91963,0.94570124,0.90624839
NLA_601414993EDR_F0731482NCAM00254M1,soil,0,soil,0,0.982607,soil,0,0.976672,0.98762625,1.937e-07,soil,0,0.975001,0.92636704,0.91708755
NLA_601415225EDR_F0731482NCAM00254M1,soil,0,soil,0,0.805735,soil,0,0.806644,0.98302978,4.768e-07,soil,0,0.865306,0.91768241,0.91698718
NLA_601421002EDR_F0731482CCAM05295M1,soil,0,soil,0,0.992251,soil,0,0.989377,0.98388112,1.937e-07,soil,0,0.954105,0.91444534,0.89510572
NLA_602651352EDR_F0732676NCAM00207M1,soil,0,bedrock,1,0.464365,soil,0,0.513236,0.97533298,3.576e-07,soil,0,0.501935,0.94376773,0.93774951
NLA_602657189EDR_F0732688NCAM00382M1,soil,0,soil,0,0.983536,soil,0,0.992208,0.97295678,4.768e-07,soil,0,0.973451,0.90976506,0.92926955
NLA_602664101EDR_F0732958NCAM00375M1,soil,0,soil,0,0.62776,soil,0,0.519998,0.97591919,2.384e-07,soil,0,0.466773,0.8763715,0.88495278
NLA_602664178EDR_F0732958NCAM00271M1,soil,0,soil,0,0.897908,soil,0,0.953487,0.97902703,1.937e-07,soil,0,0.931931,0.91558278,0.90262413
NLA_602664242EDR_F0732958NCAM00271M1,soil,0,soil,0,0.995947,soil,0,0.997753,0.99381304,1.937e-07,soil,0,0.995664,0.95226914,0.94838297
NLA_602664684EDR_F0732958NCAM00312M1,soil,0,soil,0,0.932734,soil,0,0.89245,0.98643881,1.937e-07,soil,0,0.757886,0.92139339,0.91423327
NLA_602664993EDR_F0732958NCAM00272M1,soil,0,soil,0,0.763502,soil,0,0.662159,0.97699332,4.768e-07,soil,0,0.89882,0.88934571,0.89356542
NLA_602665055EDR_F0732958NCAM00272M1,soil,0,soil,0,0.968085,soil,0,0.971112,0.9818576,1.937e-07,soil,0,0.983205,0.90820295,0.92078483
NLB_427501146EDR_F0080590NCAM00385M1,soil,0,soil,0,0.999953,soil,0,0.999957,0.97884095,1.937e-07,soil,0,0.999982,0.9260025,0.92106628
NLB_427503509EDR_F0080610NCAM00253M1,soil,0,soil,0,0.895514,soil,0,0.923726,0.96058291,1.937e-07,soil,0,0.985879,0.88981515,0.90101683
NLB_427503571EDR_F0080610NCAM00253M1,soil,0,soil,0,0.900351,soil,0,0.871155,0.98369527,4.768e-07,soil,0,0.834856,0.95483816,0.94893539
NLB_428295522EDR_F0100474NCAM00385M1,soil,0,soil,0,0.999685,soil,0,0.999753,0.98679626,1.937e-07,soil,0,0.999628,0.94344532,0.94813704
NLB_428304492EDR_F0100508NCAM05114M1,soil,0,soil,0,0.979856,soil,0,0.980531,0.98830414,4.768e-07,soil,0,0.991362,0.94679993,0.94891524
NLB_428304609EDR_F0100508NCAM05114M1,soil,0,soil,0,0.996657,soil,0,0.997225,0.98480403,1.937e-07,soil,0,0.993171,0.94147021,0.93968511
NLB_431505395EDR_F0141388NCAM00385M1,soil,0,soil,0,0.99802,soil,0,0.997798,0.98808753,2.384e-07,soil,0,0.997541,0.87963235,0.89654386
NLB_431511171EDR_F0150000NCAM00290M1,soil,0,soil,0,0.835103,soil,0,0.841023,0.97963387,4.768e-07,soil,0,0.915365,0.90409589,0.90326488
NLB_431511237EDR_F0150000NCAM00290M1,soil,0,soil,0,0.949449,soil,0,0.939441,0.98967379,4.768e-07,soil,0,0.974509,0.9186545,0.91411602
NLB_431511659EDR_F0150000NCAM00291M1,soil,0,soil,0,0.997627,soil,0,0.997758,0.99036783,1.937e-07,soil,0,0.998674,0.95801842,0.95996779
NLB_431511862EDR_F0150000NCAM00354M1,soil,0,soil,0,0.99617,soil,0,0.995423,0.97652084,2.384e-07,soil,0,0.997835,0.91802961,0.9116438
NLB_436380021EDR_F0211362NCAM00278M1,soil,0,soil,0,0.887647,soil,0,0.901023,0.98716486,4.768e-07,soil,0,0.97667,0.90995157,0.90931451
NLB_436380133EDR_F0211362NCAM00278M1,bedrock,1,soil,0,0.584254,bedrock,1,0.508304,0.98575401,1.937e-07,bedrock,1,0.680249,0.88819122,0.87842
NLB_436383872EDR_F0211362NCAM00354M1,bedrock,1,bedrock,1,0.741256,bedrock,1,0.789005,0.98507148,1.937e-07,bedrock,1,0.498993,0.86878884,0.86794883
NLB_436383928EDR_F0211362NCAM00354M1,bedrock,1,bedrock,1,0.920253,bedrock,1,0.913969,0.97475404,3.576e-07,bedrock,1,0.84291,0.84747869,0.8208198
NLB_436384026EDR_F0211362NCAM00279M1,bedrock,1,bedrock,1,0.634517,bedrock,1,0.791463,0.98170924,1.937e-07,bedrock,1,0.618406,0.93405706,0.93082857
NLB_436384203EDR_F0211362NCAM00279M1,bedrock,1,soil,0,0.739683,soil,0,0.786135,0.9819805,2.384e-07,soil,0,0.613248,0.91247958,0.90146357
NLB_439225164EDR_F0240000NCAM05113M1,soil,0,soil,0,0.96586,soil,0,0.962766,0.98553383,1.937e-07,soil,0,0.961075,0.92108554,0.91474271
NLB_439225290EDR_F0240000NCAM05113M1,soil,0,soil,0,0.982489,soil,0,0.976833,0.98712355,1.192e-07,soil,0,0.993533,0.92405784,0.91393948
NLB_439225843EDR_F0240000NCAM00267M1,soil,0,soil,0,0.73746,soil,0,0.578548,0.96019185,1.937e-07,soil,0,0.912769,0.91553438,0.87928891
NLB_439225957EDR_F0240000NCAM00267M1,soil,0,soil,0,0.447415,sand,2,0.378856,0.96451384,4.768e-07,soil,0,0.805975,0.87966794,0.90249228
NLB_439226019EDR_F0240000NCAM00267M1,soil,0,soil,0,0.931659,soil,0,0.899615,0.98689491,4.768e-07,soil,0,0.891416,0.90547436,0.90050411
NLB_439226061EDR_F0240000NCAM00350M1,soil,0,bedrock,1,0.581027,bedrock,1,0.647032,0.98007882,1.937e-07,bedrock,1,0.683757,0.87205124,0.87215817
NLB_439226140EDR_F0240000NCAM00350M1,soil,0,soil,0,0.997028,soil,0,0.996408,0.987046,1.937e-07,soil,0,0.998735,0.90860486,0.91102898
NLB_442591818EDR_F0250254NCAM00470M1,soil,0,soil,0,0.511361,soil,0,0.488236,0.97511119,4.768e-07,soil,0,0.962939,0.84281415,0.82316566
NLB_442592358EDR_F0250272NCAM00385M1,soil,0,soil,0,0.999553,soil,0,0.999478,0.98347414,1.937e-07,soil,0,0.999915,0.88431066,0.8760882
NLB_442593301EDR_F0250312NCAM00353M1,soil,0,soil,0,0.535022,soil,0,0.570656,0.96679264,2.384e-07,soil,0,0.796792,0.85094148,0.88090283
NLB_442598077EDR_F0250312NCAM00281M1,soil,0,soil,0,0.920034,soil,0,0.951445,0.97932196,4.768e-07,soil,0,0.967758,0.92019951,0.91174006
NLB_442598204EDR_F0250312NCAM00281M1,soil,0,soil,0,0.803477,soil,0,0.822477,0.98740757,1.937e-07,soil,0,0.875691,0.96930236,0.96475101
NLB_442600163EDR_F0250312NCAM00350M1,soil,0,soil,0,0.990928,soil,0,0.991409,0.96630108,4.768e-07,soil,0,0.997748,0.88043457,0.89541161
NLB_442600208EDR_F0250312NCAM00282M1,soil,0,soil,0,0.858396,soil,0,0.830758,0.98531902,1.192e-07,soil,0,0.765486,0.93072748,0.92744374
NLB_442600301EDR_F0250312NCAM00282M1,soil,0,soil,0,0.931117,soil,0,0.937497,0.97689426,2.384e-07,soil,0,0.936242,0.8744157,0.89830768
NLB_442600416EDR_F0250312NCAM00282M1,soil,0,sand,2,0.477679,sand,2,0.563026,0.96248066,4.768e-07,soil,0,0.631449,0.89472973,0.83305967
NLB_442600447EDR_F0250312NCAM00282M1,soil,0,sand,2,0.490299,soil,0,0.511545,0.9804036,4.768e-07,soil,0,0.73561,0.874722,0.87779486
NLB_443659348EDR_F0251082NCAM00470M1,soil,0,soil,0,0.928268,soil,0,0.887574,0.97428793,4.768e-07,soil,0,0.98752,0.90221411,0.89991242
NLB_443663198EDR_F0251238NCAM00353M1,soil,0,soil,0,0.879269,soil,0,0.837891,0.98464763,1.937e-07,soil,0,0.969001,0.88018978,0.86223722
NLB_443663262EDR_F0251238NCAM00289M1,soil,0,soil,0,0.799059,soil,0,0.850591,0.98707664,4.768e-07,soil,0,0.971549,0.90076119,0.90949106
NLB_443663326EDR_F0251238NCAM00289M1,soil,0,soil,0,0.997754,soil,0,0.998224,0.99215198,1.937e-07,soil,0,0.999748,0.9179256,0.9306438
NLB_443668744EDR_F0251238NCAM00292M1,soil,0,soil,0,0.919377,soil,0,0.970307,0.98264039,1.192e-07,soil,0,0.994353,0.93574119,0.94340396
NLB_443668806EDR_F0251238NCAM00292M1,soil,0,soil,0,0.436513,soil,0,0.579398,0.98427987,2.384e-07,soil,0,0.896849,0.83547246,0.83888519
NLB_443668921EDR_F0251238NCAM00292M1,soil,0,sand,2,0.867833,sand,2,0.777714,0.98193002,4.768e-07,soil,0,0.804191,0.87025261,0.88016856
NLB_443669058EDR_F0251238NCAM00352M1,soil,0,soil,0,0.986785,soil,0,0.985401,0.99202144,4.768e-07,soil,0,0.990374,0.90619075,0.92049658
NLB_443669122EDR_F0251238NCAM00352M1,soil,0,soil,0,0.859239,soil,0,0.840462,0.98329085,4.768e-07,soil,0,0.91317,0.89926112,0.89930403
NLB_448278207EDR_F0300432NCAM00380M1,soil,0,soil,0,0.999644,soil,0,0.999708,0.98737001,1.937e-07,soil,0,0.999633,0.90071219,0.90757239
NLB_448279148EDR_F0300484NCAM00353M1,soil,0,soil,0,0.966686,soil,0,0.966224,0.9808346,2.384e-07,soil,0,0.989172,0.86228526,0.87348413
NLB_448279299EDR_F0300484NCAM00299M1,soil,0,soil,0,0.933112,soil,0,0.885029,0.98192632,4.768e-07,soil,0,0.984597,0.89977342,0.87643874
NLB_448279809EDR_F0300484NCAM00354M1,soil,0,soil,0,0.989389,soil,0,0.99437,0.98393691,1.937e-07,soil,0,0.987142,0.89467192,0.87949181
NLB_448279926EDR_F0300484NCAM00250M1,soil,0,soil,0,0.997966,soil,0,0.998597,0.98906809,1.937e-07,soil,0,0.999293,0.93443227,0.94415987
NLB_448279988EDR_F0300484NCAM00250M1,soil,0,soil,0,0.99042,soil,0,0.990292,0.98790324,1.192e-07,soil,0,0.990973,0.92015046,0.93128741
NLB_448280142EDR_F0300484NCAM00250M1,soil,0,soil,0,0.757649,soil,0,0.805174,0.97877419,4.768e-07,soil,0,0.952058,0.89987963,0.91389918
