ensemble,keys,dim,shots,overall,soil,bedrock,sand,gap_vs_supervised
A_v2L+v3L,dinov2_vitl+dinov3_vitl,2048,10,56.1,64.23,34.78,69.44,-40.57
A_v2L+v3L,dinov2_vitl+dinov3_vitl,2048,50,83.97,90.24,78.26,80.56,-12.7
A_v2L+v3L,dinov2_vitl+dinov3_vitl,2048,100,86.06,94.31,78.26,81.94,-10.61
A_v2L+v3L,dinov2_vitl+dinov3_vitl,2048,500,92.68,98.37,89.13,87.5,-3.99
A_v2L+v3L,dinov2_vitl+dinov3_vitl,2048,1000,93.38,99.19,91.3,86.11,-3.29
B_v2L+v2B,dinov2_vitl+dinov2_vitb,1792,10,57.14,59.35,44.57,69.44,-39.53
B_v2L+v2B,dinov2_vitl+dinov2_vitb,1792,50,85.02,91.06,78.26,83.33,-11.65
B_v2L+v2B,dinov2_vitl+dinov2_vitb,1792,100,85.71,94.31,75.0,84.72,-10.96
B_v2L+v2B,dinov2_vitl+dinov2_vitb,1792,500,91.64,95.12,89.13,88.89,-5.03
B_v2L+v2B,dinov2_vitl+dinov2_vitb,1792,1000,94.43,100.0,90.22,90.28,-2.24
C_v2L+v3B,dinov2_vitl+dinov3_vitb,1792,10,55.75,57.72,42.39,69.44,-40.92
C_v2L+v3B,dinov2_vitl+dinov3_vitb,1792,50,81.88,89.43,72.83,80.56,-14.79
C_v2L+v3B,dinov2_vitl+dinov3_vitb,1792,100,85.02,94.31,75.0,81.94,-11.65
C_v2L+v3B,dinov2_vitl+dinov3_vitb,1792,500,91.99,97.56,88.04,87.5,-4.68
C_v2L+v3B,dinov2_vitl+dinov3_vitb,1792,1000,92.33,99.19,86.96,87.5,-4.34
D_v2L+v3L+v2B,dinov2_vitl+dinov3_vitl+dinov2_vitb,2816,10,56.79,62.6,40.22,68.06,-39.88
D_v2L+v3L+v2B,dinov2_vitl+dinov3_vitl+dinov2_vitb,2816,50,85.37,91.06,78.26,84.72,-11.3
D_v2L+v3L+v2B,dinov2_vitl+dinov3_vitl+dinov2_vitb,2816,100,86.41,95.93,76.09,83.33,-10.26
D_v2L+v3L+v2B,dinov2_vitl+dinov3_vitl+dinov2_vitb,2816,500,93.03,97.56,89.13,90.28,-3.64
D_v2L+v3L+v2B,dinov2_vitl+dinov3_vitl+dinov2_vitb,2816,1000,93.73,99.19,91.3,87.5,-2.94
