index,image_name,gt_class,pred_class,confidence,correct,p_soil,p_bedrock,p_sand,p_big_rock
0,NLA_409036116EDR_F0051606NCAM00348M1.JPG,bedrock,bedrock,0.9573,1,0.0251,0.9573,0.0086,0.0089
1,NLA_409036860EDR_F0051662NCAM00346M1.JPG,bedrock,bedrock,0.3693,1,0.2333,0.3693,0.3158,0.0816
2,NLA_409036993EDR_F0051662NCAM05703M1.JPG,bedrock,bedrock,0.6397,1,0.0985,0.6397,0.1154,0.1464
3,NLA_409037112EDR_F0051662NCAM05703M1.JPG,bedrock,bedrock,0.9285,1,0.0389,0.9285,0.0246,0.0079
4,NLA_601414568EDR_F0731482NCAM00253M1.JPG,soil,soil,0.7447,1,0.7447,0.2420,0.0070,0.0062
5,NLA_601414993EDR_F0731482NCAM00254M1.JPG,soil,soil,0.8308,1,0.8308,0.1532,0.0087,0.0073
6,NLA_601415225EDR_F0731482NCAM00254M1.JPG,soil,soil,0.6384,1,0.6384,0.2627,0.0728,0.0261
7,NLA_601421002EDR_F0731482CCAM05295M1.JPG,soil,soil,0.7917,1,0.7917,0.1953,0.0046,0.0084
8,NLA_602651352EDR_F0732676NCAM00207M1.JPG,soil,soil,0.4093,1,0.4093,0.3651,0.1990,0.0266
9,NLA_602657189EDR_F0732688NCAM00382M1.JPG,soil,soil,0.8001,1,0.8001,0.0395,0.1479,0.0125
10,NLA_602664101EDR_F0732958NCAM00375M1.JPG,soil,soil,0.3777,1,0.3777,0.2751,0.3054,0.0418
11,NLA_602664178EDR_F0732958NCAM00271M1.JPG,soil,soil,0.7082,1,0.7082,0.0727,0.2017,0.0174
12,NLA_602664242EDR_F0732958NCAM00271M1.JPG,soil,soil,0.8941,1,0.8941,0.0314,0.0670,0.0075
13,NLA_602664684EDR_F0732958NCAM00312M1.JPG,soil,soil,0.5498,1,0.5498,0.1213,0.3061,0.0229
14,NLA_602664993EDR_F0732958NCAM00272M1.JPG,soil,soil,0.6308,1,0.6308,0.1386,0.1879,0.0427
15,NLA_602665055EDR_F0732958NCAM00272M1.JPG,soil,soil,0.8041,1,0.8041,0.0896,0.0880,0.0182
16,NLB_427501146EDR_F0080590NCAM00385M1.JPG,soil,soil,0.9904,1,0.9904,0.0061,0.0021,0.0014
17,NLB_427503509EDR_F0080610NCAM00253M1.JPG,soil,soil,0.8155,1,0.8155,0.0957,0.0664,0.0225
18,NLB_427503571EDR_F0080610NCAM00253M1.JPG,soil,soil,0.5782,1,0.5782,0.1664,0.2250,0.0304
19,NLB_428295522EDR_F0100474NCAM00385M1.JPG,soil,soil,0.9600,1,0.9600,0.0159,0.0201,0.0041
20,NLB_428304492EDR_F0100508NCAM05114M1.JPG,soil,soil,0.8493,1,0.8493,0.0699,0.0678,0.0129
21,NLB_428304609EDR_F0100508NCAM05114M1.JPG,soil,soil,0.8614,1,0.8614,0.0404,0.0764,0.0218
