reading,pitch_deg,terrain,confidence,policy,speed_ms,source
1,0.0,soil,0.55,SAFE,0.1,DINOV2
2,0.0,soil,0.48,SAFE,0.1,DINOV2
3,0.0,soil,0.53,SAFE,0.1,DINOV2
4,0.0,soil,0.52,SAFE,0.1,DINOV2
5,0.0,soil,0.58,SAFE,0.1,DINOV2
6,0.0,soil,0.61,SAFE,0.1,DINOV2
7,0.0,soil,0.48,SAFE,0.1,DINOV2
8,0.0,soil,0.57,SAFE,0.1,DINOV2
9,0.0,sand,0.46,CAUTION,0.05,DINOV2
10,0.0,soil,0.51,SAFE,0.1,DINOV2
11,0.0,soil,0.6,SAFE,0.1,DINOV2
12,0.0,soil,0.56,SAFE,0.1,DINOV2
13,0.0,soil,0.52,SAFE,0.1,DINOV2
14,0.0,soil,0.46,SAFE,0.1,DINOV2
15,0.0,soil,0.52,SAFE,0.1,DINOV2
16,0.0,soil,0.48,SAFE,0.1,DINOV2
17,0.0,soil,0.54,SAFE,0.1,DINOV2
18,0.0,soil,0.55,SAFE,0.1,DINOV2
19,0.0,soil,0.58,SAFE,0.1,DINOV2
20,0.0,soil,0.56,SAFE,0.1,DINOV2
21,0.0,soil,0.51,SAFE,0.1,DINOV2
22,0.0,soil,0.47,SAFE,0.1,DINOV2
23,0.0,soil,0.47,SAFE,0.1,DINOV2
24,0.0,soil,0.53,SAFE,0.1,DINOV2
25,0.0,soil,0.56,SAFE,0.1,DINOV2
26,0.0,soil,0.51,SAFE,0.1,DINOV2
27,0.0,soil,0.46,SAFE,0.1,DINOV2
28,0.0,soil,0.46,SAFE,0.1,DINOV2
29,0.0,sand,0.51,CAUTION,0.05,DINOV2
30,0.0,soil,0.49,SAFE,0.1,DINOV2
31,0.0,soil,0.48,SAFE,0.1,DINOV2
32,0.0,sand,0.5,CAUTION,0.05,DINOV2
33,0.0,sand,0.49,CAUTION,0.05,DINOV2
34,0.0,sand,0.5,CAUTION,0.05,DINOV2
35,0.0,sand,0.5,CAUTION,0.05,DINOV2
36,0.0,sand,0.5,CAUTION,0.05,DINOV2
37,0.0,sand,0.53,CAUTION,0.05,DINOV2
38,0.0,sand,0.52,CAUTION,0.05,DINOV2
39,0.0,sand,0.51,CAUTION,0.05,DINOV2
40,0.0,sand,0.5,CAUTION,0.05,DINOV2
41,0.0,sand,0.52,CAUTION,0.05,DINOV2
42,0.0,sand,0.56,CAUTION,0.05,DINOV2
43,0.0,sand,0.52,CAUTION,0.05,DINOV2
44,0.0,sand,0.52,CAUTION,0.05,DINOV2
45,0.0,sand,0.46,CAUTION,0.05,DINOV2
46,0.0,sand,0.49,CAUTION,0.05,DINOV2
47,0.0,sand,0.49,CAUTION,0.05,DINOV2
48,0.0,sand,0.48,CAUTION,0.05,DINOV2
49,0.0,sand,0.47,CAUTION,0.05,DINOV2
50,0.0,sand,0.49,CAUTION,0.05,DINOV2
51,0.0,sand,0.51,CAUTION,0.05,DINOV2
52,0.0,sand,0.5,CAUTION,0.05,DINOV2
53,0.0,sand,0.46,CAUTION,0.05,DINOV2
54,0.0,sand,0.51,CAUTION,0.05,DINOV2
