image,gt_idx,ground_truth,squash_fp32,squash_int8,cropped_fp32,cropped_int8
NLA_409036116EDR_F0051606NCAM00348M1,1,bedrock,1,1,1,1
NLA_409036860EDR_F0051662NCAM00346M1,1,bedrock,1,2,1,1
NLA_409036993EDR_F0051662NCAM05703M1,1,bedrock,1,1,1,1
NLA_409037112EDR_F0051662NCAM05703M1,1,bedrock,1,1,1,1
NLA_601414568EDR_F0731482NCAM00253M1,0,soil,0,0,0,0
NLA_601414993EDR_F0731482NCAM00254M1,0,soil,0,0,0,0
NLA_601415225EDR_F0731482NCAM00254M1,0,soil,0,0,0,0
NLA_601421002EDR_F0731482CCAM05295M1,0,soil,0,0,0,0
NLA_602651352EDR_F0732676NCAM00207M1,0,soil,0,0,0,0
NLA_602657189EDR_F0732688NCAM00382M1,0,soil,0,0,0,0
NLA_602664101EDR_F0732958NCAM00375M1,0,soil,2,0,0,0
NLA_602664178EDR_F0732958NCAM00271M1,0,soil,0,0,0,0
NLA_602664242EDR_F0732958NCAM00271M1,0,soil,0,0,0,0
NLA_602664684EDR_F0732958NCAM00312M1,0,soil,0,0,0,0
NLA_602664993EDR_F0732958NCAM00272M1,0,soil,0,0,0,0
NLA_602665055EDR_F0732958NCAM00272M1,0,soil,0,0,0,0
NLB_427501146EDR_F0080590NCAM00385M1,0,soil,0,0,0,0
NLB_427503509EDR_F0080610NCAM00253M1,0,soil,0,0,0,0
NLB_427503571EDR_F0080610NCAM00253M1,0,soil,0,0,0,0
NLB_428295522EDR_F0100474NCAM00385M1,0,soil,0,0,0,0
NLB_428304492EDR_F0100508NCAM05114M1,0,soil,0,0,0,0
NLB_428304609EDR_F0100508NCAM05114M1,0,soil,0,0,0,0
NLB_431505395EDR_F0141388NCAM00385M1,0,soil,0,0,0,0
NLB_431511171EDR_F0150000NCAM00290M1,0,soil,0,0,0,0
NLB_431511237EDR_F0150000NCAM00290M1,0,soil,0,0,0,0
NLB_431511659EDR_F0150000NCAM00291M1,0,soil,0,0,0,0
NLB_431511862EDR_F0150000NCAM00354M1,0,soil,0,0,0,0
NLB_436380021EDR_F0211362NCAM00278M1,0,soil,0,0,0,0
NLB_436380133EDR_F0211362NCAM00278M1,1,bedrock,1,1,1,1
