sweep,n_per_class,mean_acc,std_acc,mean_soil,std_soil,mean_bedrock,std_bedrock,mean_sand,std_sand,mean_big_rock,std_big_rock
balanced,1,40.0697,7.0655,50.2439,10.8029,40.0,17.7863,22.7778,15.381,,
balanced,2,40.3484,8.0197,39.187,22.8188,46.5217,15.4547,34.4444,4.0635,,
balanced,3,41.9512,8.3496,40.6504,15.4086,41.3043,7.2753,45.0,15.7037,,
balanced,5,42.7875,3.431,49.2683,10.3811,31.9565,4.6928,45.5556,10.8084,,
balanced,8,56.9338,8.5536,61.4634,15.0316,44.3478,9.4609,65.2778,11.7523,,
balanced,10,60.8362,8.4594,64.3902,12.1179,51.087,9.9146,67.2222,8.3611,,
balanced,15,62.0209,6.3449,70.2439,13.2258,51.3043,4.9286,61.6667,6.0604,,
balanced,20,67.5958,3.6544,80.0,5.9655,50.8696,5.2535,67.7778,10.8084,,
balanced,30,73.101,2.7294,85.8537,5.4804,54.3478,6.0324,75.2778,8.3055,,
balanced,50,74.8432,1.4848,86.1789,2.571,57.1739,3.195,78.0556,2.2222,,
balanced,75,76.5854,1.066,89.1057,1.8252,56.5217,3.0744,80.8333,3.768,,
balanced,100,78.8153,1.2736,91.3821,2.1572,60.8696,3.2244,80.2778,2.0412,,
balanced,108,78.2578,2.0507,91.3821,3.7645,58.6957,2.28,80.8333,2.3895,,
practical,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
practical,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
practical,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
practical,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
practical,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
practical,50,42.0209,2.8272,59.187,2.9717,21.3043,4.4339,39.1667,4.9222,,
practical,100,77.4913,1.2388,91.0569,2.1815,58.4783,3.1802,78.6111,3.3564,,
practical,108,78.2578,2.0507,91.3821,3.7645,58.6957,2.28,80.8333,2.3895,,
practical,200,84.669,1.0099,93.0081,1.1028,72.3913,2.8009,86.1111,0.8784,,
practical,300,86.2718,1.5204,92.8455,1.8822,76.7391,2.884,87.2222,1.0393,,
practical,500,87.8049,0.9086,94.3089,1.0284,80.2174,1.8701,86.3889,0.5556,,
practical,750,89.338,0.6462,95.6098,0.3983,83.0435,1.6268,86.6667,0.6804,,
practical,1000,90.2439,0.0,95.935,0.0,84.7826,0.0,87.5,0.0,,
