class_idx,class_name,n_test,accuracy
0,apx,12,83.33
1,act,3,33.33
2,arm,4,0.0
3,art,132,91.67
4,cct,6,50.0
5,cio,26,100.0
6,clr,84,40.48
7,dls,34,2.94
8,dri,9,66.67
9,drh,88,93.18
10,drp,7,0.0
11,drt,41,92.68
12,flr,1,0.0
13,gro,590,98.14
14,hor,55,80.0
15,inl,42,95.24
16,lar,17,0.0
17,ltv,27,0.0
18,mah,4,0.0
19,mct,18,88.89
20,mas,10,70.0
21,mca,52,98.08
22,nsk,4,0.0
23,obt,16,93.75
24,pbo,13,76.92
25,ptu,20,90.0
26,pto,3,33.33
27,rem,10,80.0
28,rrd,11,72.73
29,san,16,18.75
30,sco,30,90.0
31,sun,19,68.42
32,tur,179,99.44
33,whe,5,0.0
34,whj,5,0.0
35,wht,1,0.0
