mb_class_code,mb_class_idx,ai4mars_gt,ai4mars_pred,confidence,correct
drh,9,sand,bedrock,0.9994,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,1.0,False
drh,9,sand,sand,0.9991,True
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,0.9999,False
drh,9,sand,bedrock,1.0,False
sco,30,bedrock,big_rock,0.561,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,soil,0.8467,True
drt,11,sand,sand,0.9996,True
drh,9,sand,soil,1.0,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,big_rock,0.9817,False
drh,9,sand,bedrock,0.9991,False
gro,13,soil,bedrock,0.9999,False
gro,13,soil,bedrock,1.0,False
drh,9,sand,bedrock,0.7085,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,1.0,False
drh,9,sand,soil,0.6395,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,0.9991,False
gro,13,soil,bedrock,1.0,False
drt,11,sand,sand,0.9806,True
gro,13,soil,big_rock,0.9987,False
drt,11,sand,sand,0.9993,True
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,0.9064,False
drt,11,sand,sand,0.7209,True
gro,13,soil,soil,0.9553,True
gro,13,soil,bedrock,0.9998,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,big_rock,0.7732,False
gro,13,soil,bedrock,1.0,False
drh,9,sand,bedrock,0.9866,False
gro,13,soil,bedrock,0.9999,False
sco,30,bedrock,big_rock,0.9049,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,sand,0.9978,False
gro,13,soil,big_rock,0.9153,False
gro,13,soil,bedrock,0.9982,False
gro,13,soil,bedrock,0.954,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,1.0,False
drh,9,sand,soil,0.9835,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,0.8136,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,0.9999,False
gro,13,soil,bedrock,0.9712,False
gro,13,soil,bedrock,0.7938,False
sco,30,bedrock,soil,1.0,False
gro,13,soil,bedrock,0.9973,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,1.0,False
rrd,28,bedrock,sand,0.9971,False
gro,13,soil,bedrock,1.0,False
drh,9,sand,bedrock,0.5346,False
gro,13,soil,bedrock,0.9906,False
gro,13,soil,bedrock,0.998,False
gro,13,soil,bedrock,0.9997,False
rrd,28,bedrock,big_rock,0.5554,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,1.0,False
sco,30,bedrock,bedrock,0.9886,True
gro,13,soil,bedrock,0.9994,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,big_rock,0.6084,False
sco,30,bedrock,bedrock,0.9931,True
rrd,28,bedrock,sand,0.999,False
sco,30,bedrock,sand,0.6259,False
drt,11,sand,bedrock,1.0,False
gro,13,soil,bedrock,1.0,False
drt,11,sand,bedrock,0.9923,False
gro,13,soil,bedrock,0.9538,False
gro,13,soil,bedrock,1.0,False
drh,9,sand,sand,0.9579,True
gro,13,soil,soil,0.9998,True
gro,13,soil,bedrock,1.0,False
drt,11,sand,sand,0.9907,True
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,0.9993,False
gro,13,soil,bedrock,0.9999,False
gro,13,soil,bedrock,0.9974,False
gro,13,soil,bedrock,0.9993,False
drh,9,sand,soil,0.9609,False
gro,13,soil,bedrock,0.7938,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,soil,0.957,True
gro,13,soil,soil,0.9994,True
gro,13,soil,bedrock,1.0,False
gro,13,soil,big_rock,0.6745,False
drt,11,sand,sand,1.0,True
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,0.9999,False
drh,9,sand,bedrock,0.5813,False
drt,11,sand,sand,0.9837,True
gro,13,soil,soil,0.9983,True
gro,13,soil,soil,0.996,True
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,1.0,False
dri,8,sand,sand,1.0,True
drh,9,sand,bedrock,1.0,False
gro,13,soil,bedrock,0.6638,False
gro,13,soil,bedrock,0.8974,False
sco,30,bedrock,bedrock,0.9996,True
gro,13,soil,soil,0.9993,True
drh,9,sand,soil,1.0,False
gro,13,soil,bedrock,0.997,False
drt,11,sand,sand,0.9999,True
sco,30,bedrock,bedrock,1.0,True
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,1.0,False
gro,13,soil,bedrock,1.0,False
drt,11,sand,sand,0.9957,True
drh,9,sand,bedrock,1.0,False
gro,13,soil,bedrock,0.9862,False
gro,13,soil,bedrock,0.3949,False
gro,13,soil,bedrock,0.9767,False
gro,13,soil,bedrock,0.9762,False
dri,8,sand,big_rock,0.9961,False
drh,9,sand,bedrock,1.0,False
