condition,trial,success,path_length_m,time_to_goal_s,replan_count,entered_hazard_zone
static,1,False,0.067,90.09,0,False
static,2,False,0.068,90.02,0,False
static,3,False,0.069,90.04,0,False
static,4,False,0.069,90.08,0,False
static,5,False,0.068,90.1,0,False
static,6,False,0.067,90.01,0,False
static,7,False,0.07,90.02,0,False
static,8,False,0.068,90.11,0,False
static,9,False,0.07,90.05,0,False
static,10,False,0.068,90.06,0,False
live,1,False,0.067,90.01,0,False
live,2,False,0.067,90.01,0,False
live,3,False,0.067,90.04,0,False
live,4,False,0.067,90.05,0,False
live,5,False,0.067,90.09,0,False
live,6,False,0.068,90.03,0,False
live,7,False,0.067,90.11,0,False
live,8,False,0.067,90.06,0,False
live,9,False,0.068,90.08,0,False
live,10,False,0.068,90.08,0,False
