version,overall,gap,soil,bedrock,sand,big_rock,avg_ms
v1,34.84,-61.83,64.23,2.17,26.39,N/A,154.0
v2,37.28,-59.39,52.85,21.74,30.56,N/A,N/A
v3,17.07,-79.60,13.82,12.00,29.17,N/A,N/A
v4,52.61,-44.06,45.53,91.30,15.28,N/A,N/A
v5,34.15,-62.52,2.44,79.35,30.56,N/A,N/A
v6,51.22,-45.45,96.75,5.43,31.94,N/A,N/A
v7,48.43,-48.24,60.16,51.09,25.00,N/A,92.7
v8,27.53,-69.14,43.09,15.22,16.67,N/A,93.6
v9,54.36,-42.31,95.93,18.48,29.17,N/A,96.8
v10,51.57,-45.10,95.12,8.70,31.94,N/A,97.4
v11,50.52,-46.15,100.00,5.43,23.61,N/A,95.6
v12,54.01,-42.66,90.24,21.74,33.33,N/A,102.2
