t_s,index,cell_col,cell_row,goal_x,goal_y,conf_at_selection,pool_min,pool_size,conf_at_end,delta
1473.2,1,157,187,0.75,6.75,37,37,913,90,53
1545.3,2,147,185,-0.25,6.55,38,38,877,99,61
1581.0,3,144,189,-0.55,6.95,38,38,879,99,61
1609.6,4,156,188,0.65,6.85,41,41,877,90,49
1656.7,5,161,190,1.15,7.05,41,41,877,87,46
1666.8,6,161,181,1.15,6.15,43,43,875,99,56
1696.8,7,160,177,1.05,5.75,34,34,864,40,6
1706.5,8,160,174,1.05,5.45,34,34,858,92,58
1712.5,9,156,178,0.65,5.85,34,34,857,63,29
1752.6,10,161,179,1.15,5.95,34,34,863,34,0
1784.4,11,158,175,0.85,5.55,40,40,873,40,0
