t_s,index,cell_col,cell_row,goal_x,goal_y,conf_at_selection,pool_min,pool_size,conf_at_end,delta
1386.3,1,159,165,0.95,4.55,40,40,922,57,17
1432.3,2,148,169,-0.15,4.95,41,41,913,56,15
1461.2,3,161,167,1.15,4.75,40,40,903,55,15
1519.7,4,153,172,0.35,5.25,43,43,896,66,23
1579.7,5,157,176,0.75,5.65,47,47,889,94,47
1620.4,6,162,181,1.25,6.15,48,48,888,65,17
1632.6,7,148,184,-0.15,6.45,48,48,892,81,33
1683.9,8,146,180,-0.35,6.05,43,43,886,43,0
1702.1,9,150,184,0.05,6.45,43,43,873,87,44
1723.4,10,148,188,-0.15,6.85,48,48,886,55,7
1735.4,11,149,183,-0.05,6.35,43,43,885,46,3
1771.9,12,153,181,0.35,6.15,45,45,885,52,7
1775.3,13,150,178,0.05,5.85,42,42,861,42,0
1795.3,14,154,184,0.45,6.45,45,45,882,45,0
