t_s,selection,goal_x,goal_y,goal_zone,bedrock_candidates,selected_bedrock
18.82933735847473,1,0.75,5.65,bedrock_zone,23,True
28.99793004989624,2,0.65,6.15,bedrock_zone,15,True
70.53987312316895,3,1.05,6.25,bedrock_zone,22,True
84.49409532546997,4,1.35,6.15,bedrock_zone,32,True
92.885329246521,5,1.65,6.45,bedrock_zone,28,True
102.81189966201782,6,1.55,6.75,bedrock_zone,52,True
118.98994708061218,7,1.05,6.85,bedrock_zone,51,True
139.06968569755554,8,1.55,6.75,bedrock_zone,35,True
170.6950283050537,9,1.15,7.15,bedrock_zone,33,True
195.06372809410095,10,1.65,7.35,bedrock_zone,35,True
235.56911301612854,11,1.15,6.95,bedrock_zone,44,True
284.10215759277344,12,1.45,7.75,bedrock_zone,24,True
