elapsed_s,terrain,confidence,speed_ms,x_est
0.0,unknown,0.0,0.0,-3.0
0.0,unknown,0.0,0.0,-3.0
0.0,soil,0.643,0.0,-3.0
0.0,soil,0.643,0.05,-3.0
0.0,sand,0.764,0.05,-3.0
0.0,sand,0.764,0.05,-3.0
0.0,sand,0.764,0.05,-3.0
0.0,sand,0.764,0.0,-3.0
0.0,sand,0.788,0.0,-3.0
0.0,sand,0.788,0.05,-3.0
0.0,sand,0.786,0.05,-3.0
0.0,sand,0.786,0.05,-3.0
0.0,sand,0.773,0.05,-3.0
0.0,sand,0.773,0.0,-3.0
0.0,sand,0.773,0.05,-3.0
0.0,sand,0.773,0.05,-3.0
0.01,sand,0.773,0.0,-3.0
0.01,sand,0.773,0.05,-3.0
0.09,sand,0.773,0.05,-3.0
0.12,sand,0.773,0.0,-3.0
0.19,sand,0.773,0.05,-2.99
0.29,sand,0.773,0.05,-2.99
0.33,sand,0.773,0.0,-2.99
0.34,sand,0.805,0.0,-2.99
0.39,sand,0.805,0.05,-2.99
0.49,sand,0.805,0.05,-2.99
0.53,sand,0.805,0.0,-2.98
0.6,sand,0.805,0.05,-2.98
0.69,sand,0.805,0.05,-2.98
0.7,sand,0.828,0.05,-2.98
0.74,sand,0.828,0.0,-2.98
0.8,sand,0.828,0.05,-2.97
0.89,sand,0.828,0.05,-2.97
0.94,sand,0.828,0.0,-2.97
0.99,sand,0.828,0.05,-2.97
1.09,sand,0.828,0.05,-2.97
1.12,sand,0.804,0.05,-2.96
1.15,sand,0.804,0.0,-2.96
1.19,sand,0.804,0.05,-2.96
1.29,sand,0.804,0.05,-2.96
1.36,sand,0.804,0.0,-2.95
1.39,sand,0.804,0.05,-2.95
1.46,sand,0.797,0.05,-2.95
1.49,sand,0.797,0.05,-2.95
1.57,sand,0.797,0.0,-2.94
1.59,sand,0.797,0.05,-2.94
1.69,sand,0.797,0.05,-2.94
1.79,sand,0.797,0.0,-2.94
1.79,sand,0.797,0.05,-2.93
1.81,sand,0.79,0.05,-2.93
1.89,sand,0.79,0.05,-2.93
1.99,sand,0.79,0.0,-2.93
1.99,sand,0.79,0.05,-2.92
2.09,sand,0.79,0.05,-2.92
2.14,sand,0.797,0.05,-2.92
2.19,sand,0.797,0.05,-2.91
2.22,sand,0.797,0.0,-2.91
2.29,sand,0.797,0.05,-2.91
2.39,sand,0.797,0.05,-2.91
2.41,sand,0.797,0.0,-2.9
2.5,sand,0.797,0.0,-2.9
2.5,sand,0.797,0.05,-2.9
2.59,sand,0.797,0.05,-2.9
2.62,sand,0.797,0.0,-2.9
2.69,sand,0.797,0.05,-2.9
2.79,sand,0.797,0.05,-2.9
2.86,sand,0.801,0.05,-2.89
2.87,sand,0.801,0.0,-2.89
2.89,sand,0.801,0.05,-2.89
2.99,sand,0.801,0.05,-2.89
3.06,sand,0.801,0.0,-2.88
3.1,sand,0.801,0.05,-2.88
3.18,sand,0.806,0.05,-2.88
3.19,sand,0.806,0.05,-2.88
3.27,sand,0.806,0.0,-2.88
3.29,sand,0.806,0.05,-2.87
3.4,sand,0.806,0.05,-2.87
3.48,sand,0.806,0.0,-2.87
3.49,sand,0.806,0.05,-2.86
3.49,sand,0.852,0.05,-2.86
3.59,sand,0.852,0.05,-2.86
3.69,sand,0.852,0.0,-2.86
3.7,sand,0.852,0.05,-2.85
3.79,sand,0.852,0.05,-2.85
3.85,sand,0.838,0.05,-2.85
3.89,sand,0.838,0.05,-2.84
3.9,sand,0.838,0.0,-2.84
3.99,sand,0.838,0.05,-2.84
4.09,sand,0.838,0.05,-2.84
4.1,sand,0.838,0.0,-2.84
4.19,sand,0.835,0.0,-2.84
4.19,sand,0.835,0.05,-2.84
4.29,sand,0.835,0.05,-2.84
4.3,sand,0.835,0.0,-2.83
4.4,sand,0.835,0.05,-2.83
4.5,sand,0.835,0.05,-2.83
4.51,sand,0.835,0.0,-2.83
4.58,sand,0.849,0.0,-2.83
4.59,sand,0.849,0.05,-2.83
4.7,sand,0.849,0.05,-2.83
4.71,sand,0.849,0.0,-2.82
4.81,sand,0.849,0.05,-2.82
4.89,sand,0.849,0.05,-2.82
4.97,sand,0.849,0.0,-2.81
4.99,sand,0.849,0.05,-2.81
5.03,sand,0.851,0.05,-2.81
5.09,sand,0.851,0.05,-2.81
5.15,sand,0.851,0.0,-2.81
5.19,sand,0.851,0.05,-2.8
5.29,sand,0.851,0.05,-2.8
5.34,sand,0.851,0.0,-2.8
5.39,sand,0.851,0.05,-2.8
5.42,sand,0.875,0.05,-2.8
5.49,sand,0.875,0.05,-2.79
5.54,sand,0.875,0.0,-2.79
5.59,sand,0.875,0.05,-2.79
5.69,sand,0.875,0.05,-2.79
5.75,sand,0.875,0.0,-2.78
5.76,sand,0.85,0.0,-2.78
5.79,sand,0.85,0.05,-2.78
5.89,sand,0.85,0.05,-2.78
5.96,sand,0.85,0.0,-2.77
5.99,sand,0.85,0.05,-2.77
6.09,sand,0.85,0.05,-2.77
6.13,sand,0.868,0.05,-2.77
6.16,sand,0.868,0.0,-2.76
6.19,sand,0.868,0.05,-2.76
6.29,sand,0.868,0.05,-2.76
6.36,sand,0.868,0.0,-2.76
6.39,sand,0.868,0.05,-2.75
