elapsed_s,terrain,confidence,traversability_score,speed_ms,x_est
0.0,sand,0.946,0.4732,0.0,-3.0
0.1,sand,0.946,0.4732,0.0,-3.0
0.2,sand,0.946,0.4732,0.0,-3.0
0.28,sand,0.946,0.4732,0.0,-3.0
0.33,sand,0.946,0.4732,0.0527,-3.0
0.43,sand,0.946,0.4732,0.0527,-3.0
0.43,sand,0.946,0.4732,0.0527,-2.99
0.53,sand,0.946,0.4732,0.0527,-2.99
0.63,sand,0.946,0.4732,0.0527,-2.99
0.63,sand,0.946,0.4732,0.0527,-2.98
0.73,sand,0.946,0.4732,0.0527,-2.98
0.74,sand,0.946,0.4732,0.0527,-2.98
0.83,sand,0.946,0.4732,0.0527,-2.98
0.93,sand,0.946,0.4732,0.0527,-2.97
0.93,sand,0.946,0.4732,0.0527,-2.97
1.04,sand,0.946,0.4732,0.0527,-2.97
1.04,sand,0.946,0.4732,0.0527,-2.96
1.04,sand,0.946,0.4732,0.0527,-2.96
1.04,sand,0.946,0.4733,0.0527,-2.96
1.13,sand,0.946,0.4733,0.0527,-2.96
1.24,sand,0.946,0.4733,0.0527,-2.96
1.24,sand,0.946,0.4733,0.0527,-2.95
1.33,sand,0.946,0.4733,0.0527,-2.95
1.43,sand,0.946,0.4733,0.0527,-2.95
1.43,sand,0.946,0.4733,0.0527,-2.94
1.54,sand,0.946,0.4733,0.0527,-2.94
1.56,sand,0.946,0.4733,0.0527,-2.94
1.63,sand,0.946,0.4733,0.0527,-2.94
1.73,sand,0.946,0.4733,0.0527,-2.93
1.73,sand,0.946,0.4733,0.0527,-2.93
1.83,sand,0.946,0.4733,0.0527,-2.93
1.83,sand,0.946,0.4733,0.0527,-2.92
1.93,sand,0.946,0.4733,0.0527,-2.92
1.93,sand,0.946,0.4733,0.0527,-2.92
1.96,sand,0.969,0.4733,0.0527,-2.92
1.97,sand,0.969,0.4847,0.0527,-2.91
2.03,sand,0.969,0.4847,0.0523,-2.91
2.13,sand,0.969,0.4847,0.0523,-2.91
2.13,sand,0.969,0.4847,0.0523,-2.91
2.23,sand,0.969,0.4847,0.0523,-2.91
2.23,sand,0.969,0.4847,0.0523,-2.9
2.33,sand,0.969,0.4847,0.0523,-2.9
2.34,sand,0.969,0.4847,0.0523,-2.89
2.44,sand,0.969,0.4847,0.0523,-2.89
2.53,sand,0.969,0.4847,0.0523,-2.89
2.63,sand,0.969,0.4847,0.0523,-2.88
2.63,sand,0.969,0.4847,0.0523,-2.88
2.7,sand,0.952,0.4847,0.0523,-2.88
2.7,sand,0.952,0.4764,0.0523,-2.88
2.73,sand,0.952,0.4764,0.0523,-2.88
2.83,sand,0.952,0.4764,0.0523,-2.87
2.83,sand,0.952,0.4764,0.0523,-2.87
2.93,sand,0.952,0.4764,0.0523,-2.87
2.93,sand,0.952,0.4764,0.0523,-2.86
3.03,sand,0.952,0.4764,0.0523,-2.86
3.09,sand,0.952,0.4764,0.0523,-2.86
3.13,sand,0.952,0.4764,0.0523,-2.85
3.23,sand,0.952,0.4764,0.0523,-2.85
3.23,sand,0.952,0.4764,0.0523,-2.85
3.33,sand,0.952,0.4764,0.0523,-2.85
3.33,sand,0.952,0.4764,0.0523,-2.84
3.43,sand,0.952,0.4764,0.0523,-2.84
3.54,sand,0.952,0.4764,0.0523,-2.84
3.55,sand,0.952,0.4764,0.0523,-2.83
3.64,sand,0.952,0.4764,0.0523,-2.83
3.67,sand,0.966,0.4764,0.0523,-2.83
3.67,sand,0.966,0.483,0.0523,-2.82
3.73,sand,0.966,0.483,0.0521,-2.82
3.83,sand,0.966,0.483,0.0521,-2.82
3.83,sand,0.966,0.483,0.0521,-2.82
3.93,sand,0.966,0.483,0.0521,-2.82
3.93,sand,0.966,0.483,0.0521,-2.81
4.03,sand,0.966,0.483,0.0521,-2.81
4.05,sand,0.966,0.483,0.0521,-2.81
4.13,sand,0.966,0.483,0.0521,-2.8
4.23,sand,0.966,0.483,0.0521,-2.8
4.23,sand,0.966,0.483,0.0521,-2.8
4.35,sand,0.966,0.483,0.0521,-2.8
4.35,sand,0.966,0.483,0.0521,-2.79
4.43,sand,0.966,0.483,0.0521,-2.79
4.5,sand,0.966,0.483,0.0521,-2.79
4.5,sand,0.966,0.4833,0.0521,-2.78
4.54,sand,0.966,0.4833,0.0518,-2.78
4.63,sand,0.966,0.4833,0.0518,-2.78
4.73,sand,0.966,0.4833,0.0518,-2.77
4.73,sand,0.966,0.4833,0.0518,-2.77
4.84,sand,0.966,0.4833,0.0518,-2.77
4.84,sand,0.966,0.4833,0.0518,-2.76
4.93,sand,0.966,0.4833,0.0518,-2.76
5.03,sand,0.966,0.4833,0.0518,-2.76
5.03,sand,0.966,0.4833,0.0518,-2.75
5.13,sand,0.966,0.4833,0.0518,-2.75
5.13,sand,0.966,0.4833,0.0518,-2.75
5.23,sand,0.966,0.4833,0.0518,-2.75
5.23,sand,0.966,0.4833,0.0518,-2.74
5.33,sand,0.966,0.4833,0.0518,-2.74
5.33,sand,0.966,0.4833,0.0518,-2.74
6.24,sand,0.981,0.4833,0.0518,-2.74
6.24,sand,0.981,0.4905,0.0518,-2.69
6.25,sand,0.981,0.4905,0.0518,-2.69
7.09,sand,0.981,0.4905,0.0517,-2.69
7.13,sand,0.981,0.4905,0.0517,-2.65
7.22,sand,0.981,0.4905,0.0517,-2.65
7.33,sand,0.981,0.4905,0.0517,-2.64
