elapsed_s,terrain,confidence,traversability_score,speed_ms,x_est
0.0,sand,0.947,0.4736,0.0,-3.0
0.1,sand,0.947,0.4736,0.0,-3.0
0.17,sand,0.947,0.4736,0.0,-3.0
0.24,sand,0.947,0.4736,0.0526,-3.0
0.35,sand,0.947,0.4736,0.0526,-3.0
0.35,sand,0.947,0.4736,0.0526,-2.99
0.44,sand,0.947,0.4736,0.0526,-2.99
0.44,sand,0.947,0.4736,0.0526,-2.99
0.54,sand,0.947,0.4736,0.0526,-2.99
0.56,sand,0.947,0.4736,0.0526,-2.98
0.64,sand,0.947,0.4736,0.0526,-2.98
0.66,sand,0.947,0.4736,0.0526,-2.98
0.66,sand,0.947,0.4736,0.0526,-2.98
0.74,sand,0.947,0.4736,0.0526,-2.98
0.84,sand,0.947,0.4736,0.0526,-2.97
0.85,sand,0.947,0.4736,0.0526,-2.97
0.94,sand,0.947,0.4736,0.0526,-2.97
0.94,sand,0.947,0.4736,0.0526,-2.96
1.04,sand,0.947,0.4736,0.0526,-2.96
1.04,sand,0.947,0.4736,0.0526,-2.96
1.14,sand,0.947,0.4736,0.0526,-2.96
1.14,sand,0.947,0.4736,0.0526,-2.95
1.24,sand,0.947,0.4736,0.0526,-2.95
1.24,sand,0.947,0.4736,0.0526,-2.95
1.29,sand,0.95,0.4736,0.0526,-2.95
1.3,sand,0.95,0.4754,0.0526,-2.94
1.34,sand,0.95,0.4754,0.0526,-2.94
1.44,sand,0.95,0.4754,0.0526,-2.94
1.44,sand,0.95,0.4754,0.0526,-2.94
1.54,sand,0.95,0.4754,0.0526,-2.94
1.54,sand,0.95,0.4754,0.0526,-2.93
1.64,sand,0.95,0.4754,0.0526,-2.93
1.64,sand,0.95,0.4754,0.0526,-2.93
1.75,sand,0.95,0.4754,0.0526,-2.93
1.75,sand,0.95,0.4754,0.0526,-2.92
1.84,sand,0.95,0.4754,0.0526,-2.92
1.84,sand,0.95,0.4754,0.0526,-2.92
1.96,sand,0.967,0.4754,0.0526,-2.92
1.96,sand,0.967,0.484,0.0526,-2.91
1.96,sand,0.967,0.484,0.0526,-2.91
1.96,sand,0.967,0.484,0.0526,-2.91
2.04,sand,0.967,0.484,0.0523,-2.91
2.14,sand,0.967,0.484,0.0523,-2.91
2.14,sand,0.967,0.484,0.0523,-2.9
2.24,sand,0.967,0.484,0.0523,-2.9
2.24,sand,0.967,0.484,0.0523,-2.89
2.34,sand,0.967,0.484,0.0523,-2.89
2.34,sand,0.967,0.484,0.0523,-2.89
2.44,sand,0.967,0.484,0.0523,-2.89
2.44,sand,0.967,0.484,0.0523,-2.88
2.49,sand,0.967,0.484,0.0523,-2.88
2.49,sand,0.967,0.4838,0.0523,-2.88
2.54,sand,0.967,0.4838,0.0521,-2.88
2.64,sand,0.967,0.4838,0.0521,-2.88
2.64,sand,0.967,0.4838,0.0521,-2.87
2.74,sand,0.967,0.4838,0.0521,-2.87
2.74,sand,0.967,0.4838,0.0521,-2.87
2.84,sand,0.967,0.4838,0.0521,-2.87
2.84,sand,0.967,0.4838,0.0521,-2.86
2.94,sand,0.967,0.4838,0.0521,-2.86
2.94,sand,0.967,0.4838,0.0521,-2.86
3.04,sand,0.967,0.4838,0.0521,-2.86
3.04,sand,0.967,0.4838,0.0521,-2.85
3.07,sand,0.966,0.4838,0.0521,-2.85
3.08,sand,0.966,0.4834,0.0521,-2.85
3.14,sand,0.966,0.4834,0.0518,-2.85
3.24,sand,0.966,0.4834,0.0518,-2.85
3.24,sand,0.966,0.4834,0.0518,-2.84
3.34,sand,0.966,0.4834,0.0518,-2.84
3.34,sand,0.966,0.4834,0.0518,-2.84
3.45,sand,0.966,0.4834,0.0518,-2.84
3.45,sand,0.966,0.4834,0.0518,-2.83
3.54,sand,0.966,0.4834,0.0518,-2.83
3.64,sand,0.966,0.4834,0.0518,-2.83
3.64,sand,0.966,0.4834,0.0518,-2.82
3.65,sand,0.966,0.4834,0.0518,-2.82
3.65,sand,0.966,0.483,0.0518,-2.82
3.74,sand,0.966,0.483,0.0516,-2.82
3.84,sand,0.966,0.483,0.0516,-2.82
3.84,sand,0.966,0.483,0.0516,-2.81
3.94,sand,0.966,0.483,0.0516,-2.81
3.94,sand,0.966,0.483,0.0516,-2.81
4.04,sand,0.966,0.483,0.0516,-2.81
4.04,sand,0.966,0.483,0.0516,-2.8
4.14,sand,0.966,0.483,0.0516,-2.8
4.14,sand,0.966,0.483,0.0516,-2.8
4.16,sand,0.984,0.483,0.0516,-2.8
4.16,sand,0.984,0.4924,0.0516,-2.8
4.24,sand,0.984,0.4924,0.0514,-2.8
4.34,sand,0.984,0.4924,0.0514,-2.79
4.34,sand,0.984,0.4924,0.0514,-2.79
4.45,sand,0.984,0.4924,0.0514,-2.79
4.45,sand,0.984,0.4924,0.0514,-2.78
4.54,sand,0.984,0.4924,0.0514,-2.78
4.64,sand,0.984,0.4924,0.0514,-2.78
4.64,sand,0.984,0.4924,0.0514,-2.77
4.74,sand,0.984,0.4924,0.0514,-2.77
4.74,sand,0.984,0.4924,0.0514,-2.77
4.8,sand,0.975,0.4924,0.0514,-2.77
4.8,sand,0.975,0.4874,0.0514,-2.76
4.84,sand,0.975,0.4874,0.0513,-2.76
4.94,sand,0.975,0.4874,0.0513,-2.76
4.94,sand,0.975,0.4874,0.0513,-2.76
5.04,sand,0.975,0.4874,0.0513,-2.76
5.04,sand,0.975,0.4874,0.0513,-2.75
5.14,sand,0.975,0.4874,0.0513,-2.75
5.14,sand,0.975,0.4874,0.0513,-2.74
5.24,sand,0.975,0.4874,0.0513,-2.74
5.24,sand,0.975,0.4874,0.0513,-2.74
5.34,sand,0.975,0.4874,0.0513,-2.74
5.34,sand,0.975,0.4874,0.0513,-2.73
5.36,sand,0.987,0.4874,0.0513,-2.73
5.36,sand,0.987,0.4935,0.0513,-2.73
5.44,sand,0.987,0.4935,0.0511,-2.73
5.55,sand,0.987,0.4935,0.0511,-2.73
5.55,sand,0.987,0.4935,0.0511,-2.72
5.64,sand,0.987,0.4935,0.0511,-2.72
5.75,sand,0.987,0.4935,0.0511,-2.72
5.75,sand,0.987,0.4935,0.0511,-2.71
5.84,sand,0.987,0.4935,0.0511,-2.71
5.84,sand,0.987,0.4935,0.0511,-2.71
5.95,sand,0.987,0.4935,0.0511,-2.71
5.95,sand,0.987,0.4935,0.0511,-2.7
6.04,sand,0.987,0.4935,0.0511,-2.7
6.04,sand,0.987,0.4935,0.0511,-2.7
