folder,source,filename,expected_class,predicted_class,confidence,traversability_score,correct,p_soil,p_bedrock,p_sand,p_big_rock,inference_ms
1. AI4MAR Bedrock,AI4Mars,NLA_407351310EDR_F0050406NCAM00340M1.JPG,bedrock,bedrock,0.9875,0.694,1,0.0074,0.9875,0.0047,0.0004,733.9
1. AI4MAR Bedrock,AI4Mars,NLA_407536747EDR_F0050432NCAM07753M1.JPG,bedrock,soil,0.6673,0.2318,0,0.6673,0.3245,0.0071,0.0011,298.1
1. AI4MAR Bedrock,AI4Mars,NLA_407536781EDR_F0050432NCAM07753M1.JPG,bedrock,soil,0.9224,0.0524,0,0.9224,0.0583,0.0155,0.0038,189.6
1. AI4MAR Bedrock,AI4Mars,NLA_407975447EDR_F0050432NCAM07814M1.JPG,bedrock,soil,0.584,0.2904,0,0.584,0.4053,0.0079,0.0027,388.7
1. AI4MAR Bedrock,AI4Mars,NLA_408156312EDR_F0050742NCAM00215M1.JPG,bedrock,bedrock,0.9403,0.6832,1,0.0164,0.9403,0.0367,0.0066,230.1
1. AI4MAR Bedrock,AI4Mars,NLA_408244726EDR_F0050926NCAM00216M1.JPG,bedrock,bedrock,0.7923,0.6178,1,0.085,0.7923,0.119,0.0037,317.4
1. AI4MAR Bedrock,AI4Mars,NLA_408244754EDR_F0050926NCAM00216M1.JPG,bedrock,bedrock,0.6426,0.4789,1,0.3001,0.6426,0.0565,0.0008,445.2
1. AI4MAR Bedrock,AI4Mars,NLA_408331649EDR_F0050938NCAM00218M1.JPG,bedrock,bedrock,0.8181,0.5748,1,0.1796,0.8181,0.0002,0.0021,230.5
1. AI4MAR Bedrock,AI4Mars,NLA_408420110EDR_F0051070NCAM05134M1.JPG,bedrock,bedrock,0.8343,0.6166,1,0.1022,0.8343,0.062,0.0016,173.7
1. AI4MAR Bedrock,AI4Mars,NLA_408420145EDR_F0051070NCAM05134M1.JPG,bedrock,bedrock,0.8928,0.654,1,0.0499,0.8928,0.0565,0.0008,328.5
1. AI4MAR Bedrock,AI4Mars,NLA_408420242EDR_F0051070NCAM00218M1.JPG,bedrock,bedrock,0.9732,0.6826,1,0.0251,0.9732,0.0006,0.001,331.0
1. AI4MAR Bedrock,AI4Mars,NLA_408507533EDR_F0051216NCAM00219M1.JPG,bedrock,bedrock,0.9587,0.6808,1,0.0224,0.9587,0.0183,0.0006,266.4
