threshold,n_total,n_confident,n_abstained,abstention_rate,acc_confident,acc_overall,safety_rate,safety_fail_rate,bedrock_safe_rate,bigrock_safety
0.1,287,287,0,0.0,90.24,90.24,94.77,5.23,84.78,nan
0.15,287,287,0,0.0,90.24,90.24,94.77,5.23,84.78,nan
0.2,287,287,0,0.0,90.24,90.24,94.77,5.23,84.78,nan
0.25,287,287,0,0.0,90.24,90.24,94.77,5.23,84.78,nan
0.3,287,287,0,0.0,90.24,90.24,94.77,5.23,84.78,nan
0.35,287,287,0,0.0,90.24,90.24,94.77,5.23,84.78,nan
0.4,287,286,1,0.35,90.56,90.24,94.77,5.23,84.78,nan
0.45,287,285,2,0.7,90.88,90.24,95.12,4.88,85.87,nan
0.5,287,280,7,2.44,91.07,88.85,95.47,4.53,86.96,nan
0.55,287,274,13,4.53,91.61,87.46,96.17,3.83,89.13,nan
0.6,287,265,22,7.67,92.45,85.37,96.52,3.48,90.22,nan
0.65,287,254,33,11.5,93.7,82.93,97.56,2.44,92.39,nan
0.7,287,242,45,15.68,95.04,80.14,97.91,2.09,93.48,nan
0.75,287,235,52,18.12,97.02,79.44,98.26,1.74,94.57,nan
0.8,287,220,67,23.34,97.73,74.91,98.95,1.05,96.74,nan
0.85,287,204,83,28.92,97.55,69.34,98.95,1.05,96.74,nan
0.9,287,183,104,36.24,98.91,63.07,100.0,0.0,100.0,nan
