x,y,label,class_name,pred,pred_class,correct
-5.791596,10.087043,1,Bedrock,1,Bedrock,1
10.718119,-20.616968,1,Bedrock,1,Bedrock,1
-3.807323,13.158729,1,Bedrock,1,Bedrock,1
-6.173491,16.689463,1,Bedrock,1,Bedrock,1
-2.881309,19.718126,0,Soil,0,Soil,1
-3.041443,18.528614,0,Soil,0,Soil,1
6.377475,-9.911001,0,Soil,0,Soil,1
0.686624,10.761780,0,Soil,0,Soil,1
6.379527,-19.631889,0,Soil,0,Soil,1
8.452787,-6.719243,0,Soil,0,Soil,1
12.834806,-19.262316,0,Soil,0,Soil,1
6.389121,-5.906858,0,Soil,0,Soil,1
3.247495,22.007349,0,Soil,0,Soil,1
-1.062885,-4.284256,0,Soil,0,Soil,1
-0.372177,-21.016821,0,Soil,0,Soil,1
3.226546,-10.740534,0,Soil,0,Soil,1
3.912222,9.939969,0,Soil,0,Soil,1
-0.456721,-21.297766,0,Soil,0,Soil,1
1.408512,-13.549396,0,Soil,0,Soil,1
3.711621,10.142322,0,Soil,0,Soil,1
6.816812,-7.098206,0,Soil,0,Soil,1
3.840636,15.628140,0,Soil,0,Soil,1
1.479058,11.290809,0,Soil,0,Soil,1
0.918692,-9.378366,0,Soil,0,Soil,1
5.390154,-8.613319,0,Soil,0,Soil,1
2.258852,15.998024,0,Soil,0,Soil,1
1.557937,7.425192,0,Soil,0,Soil,1
7.493141,-8.034620,0,Soil,0,Soil,1
-3.409420,14.309995,1,Bedrock,1,Bedrock,1
-3.313336,10.743462,1,Bedrock,1,Bedrock,1
-7.085435,-7.766866,1,Bedrock,1,Bedrock,1
-0.530568,20.598236,1,Bedrock,1,Bedrock,1
0.751491,-7.992698,1,Bedrock,0,Soil,0
0.413715,15.939717,0,Soil,0,Soil,1
1.673228,18.310898,0,Soil,0,Soil,1
-2.459432,-20.397499,0,Soil,0,Soil,1
-0.466676,-13.563214,0,Soil,0,Soil,1
8.414096,-8.104145,0,Soil,0,Soil,1
0.632840,6.741381,0,Soil,1,Bedrock,0
-9.650322,-4.003984,0,Soil,0,Soil,1
-7.912667,-10.093819,0,Soil,0,Soil,1
3.727438,11.078871,0,Soil,0,Soil,1
10.842883,-19.091244,0,Soil,0,Soil,1
9.320636,-7.903873,0,Soil,0,Soil,1
-0.037891,17.888733,0,Soil,0,Soil,1
-9.075920,-9.212980,0,Soil,0,Soil,1
-0.074269,17.764397,0,Soil,0,Soil,1
-2.880794,-21.137156,0,Soil,0,Soil,1
-0.081361,-14.319922,0,Soil,0,Soil,1
0.199047,-11.121794,0,Soil,0,Soil,1
-7.756127,-9.952273,0,Soil,0,Soil,1
11.174322,-16.369049,0,Soil,0,Soil,1
8.086021,-8.676723,0,Soil,0,Soil,1
2.578917,15.541600,0,Soil,0,Soil,1
1.963833,20.098177,0,Soil,0,Soil,1
-2.858229,-20.255718,0,Soil,0,Soil,1
0.015716,-12.492245,0,Soil,0,Soil,1
0.614707,9.193426,0,Soil,0,Soil,1
-8.519124,-8.357230,0,Soil,0,Soil,1
5.166659,10.325834,0,Soil,0,Soil,1
10.933763,-16.339170,0,Soil,0,Soil,1
8.415740,-7.697137,0,Soil,0,Soil,1
2.387587,6.027500,0,Soil,0,Soil,1
0.893650,19.126451,0,Soil,0,Soil,1
4.354012,17.502401,0,Soil,0,Soil,1
-1.917730,-20.696289,0,Soil,0,Soil,1
5.301033,15.373260,0,Soil,0,Soil,1
5.661687,14.287740,0,Soil,0,Soil,1
