image_index,true_label,baseline_pred,tta_pred
0,1,1,1
1,1,1,1
2,1,1,1
3,1,1,1
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,2
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,1,1,1
29,1,1,0
30,1,1,1
31,1,1,1
32,1,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,1,1
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,0,0,0
48,0,0,0
49,0,0,0
50,0,0,0
51,0,0,0
52,0,0,0
53,0,0,0
54,0,0,0
55,0,0,0
56,0,0,0
57,0,0,0
58,0,0,0
59,0,0,0
60,0,0,0
61,0,0,0
62,0,0,0
63,0,0,0
64,0,0,0
65,0,0,0
66,0,0,0
67,0,0,0
68,0,0,0
69,0,0,0
70,0,0,0
71,0,0,0
72,0,0,0
73,0,0,0
74,0,0,0
75,0,0,0
76,0,0,0
77,0,0,0
78,0,0,0
79,0,0,0
80,0,0,0
81,0,0,0
82,0,0,0
83,0,0,0
84,0,0,0
85,0,0,0
86,2,2,2
87,2,2,2
88,2,2,2
89,2,2,2
90,2,2,2
91,2,2,2
92,2,2,2
93,0,0,0
94,0,0,0
95,0,0,0
96,0,0,0
97,0,0,0
98,1,1,1
99,2,2,2
100,1,1,1
101,1,1,1
102,1,1,1
103,1,1,1
104,1,2,1
105,2,2,2
106,2,2,2
107,0,0,0
108,0,0,0
109,0,0,0
110,0,0,0
111,1,1,1
112,1,1,1
113,1,1,1
114,1,1,1
115,2,2,2
116,1,1,1
117,1,1,1
118,2,1,1
119,1,1,1
120,2,2,2
121,1,1,1
122,1,2,2
123,2,2,2
124,1,2,2
125,2,1,1
126,2,1,1
127,1,1,1
128,1,1,1
129,1,1,1
130,1,1,1
131,1,0,0
132,1,1,1
133,1,1,1
134,2,2,2
135,2,2,2
136,2,2,2
137,2,2,2
138,2,2,2
139,2,2,2
140,2,1,1
141,1,1,1
142,1,2,2
143,2,2,2
144,2,1,1
145,2,2,2
146,1,1,1
147,1,1,1
148,2,2,2
149,2,2,2
150,2,2,2
151,2,2,2
152,2,2,2
153,1,1,1
154,2,2,2
155,1,1,1
156,1,1,1
157,1,1,1
158,1,1,1
159,1,1,1
160,1,1,1
161,1,2,2
162,1,1,1
163,1,1,1
164,1,1,1
165,1,1,1
166,1,1,1
167,1,1,1
168,1,1,1
169,1,1,2
170,1,1,1
171,2,1,1
172,1,1,1
173,1,1,1
174,1,1,1
175,1,1,1
176,1,1,1
177,1,1,1
178,1,1,1
179,1,1,1
180,2,2,2
181,2,2,2
182,2,2,2
183,1,2,2
184,2,2,2
185,2,2,2
186,2,2,2
187,2,2,2
188,2,2,2
189,2,2,2
190,2,2,2
191,2,2,2
192,2,2,2
193,2,2,2
194,2,2,2
195,2,2,2
196,2,2,2
197,2,2,2
198,2,1,1
199,1,1,1
200,1,1,1
201,1,1,1
202,1,1,1
203,1,1,1
204,2,2,2
205,2,2,2
206,2,2,2
207,2,2,2
208,2,2,2
209,2,2,2
210,2,2,2
211,2,2,2
212,2,1,1
213,2,2,2
214,2,2,2
215,2,2,2
216,2,2,2
217,2,2,2
218,2,2,2
219,2,2,2
220,1,1,1
221,1,1,1
222,1,1,1
223,1,1,1
224,1,1,1
225,1,1,1
226,1,1,1
227,1,1,1
228,1,1,1
229,1,1,1
230,1,1,1
231,1,1,1
232,1,1,1
233,1,1,1
234,1,1,1
235,1,1,1
236,0,0,0
237,0,0,0
238,0,0,0
239,0,0,0
240,0,0,0
241,0,0,0
242,0,0,0
243,0,0,0
244,0,0,0
245,1,0,0
246,0,0,0
247,0,0,0
248,0,0,0
249,0,0,0
250,0,0,0
251,0,0,0
252,0,0,0
253,0,0,0
254,0,0,0
255,0,0,0
256,0,2,2
257,0,0,0
258,1,0,0
259,1,0,0
260,0,2,2
261,0,0,0
262,1,1,1
263,0,0,0
264,0,0,0
265,1,1,1
266,0,0,0
267,1,0,0
268,1,0,0
269,0,1,0
270,1,0,0
271,1,1,1
272,0,0,0
273,2,2,2
274,2,2,2
275,2,2,2
276,2,0,0
277,2,2,2
278,0,1,1
279,0,0,0
280,0,0,0
281,0,0,0
282,0,0,0
283,0,0,0
284,0,0,0
285,0,0,0
286,0,0,0
