real_elapsed_s,sim_time_s,phase,gt_x,gt_y,gt_yaw_deg
0.368,36.9,forward,2.0015,-6.0,0.0
0.566,37.1,forward,2.0094,-6.0,0.0
0.766,37.3,forward,2.0188,-6.0,-0.0
0.966,37.5,forward,2.0281,-6.0,-0.0
1.166,37.7,forward,2.037,-6.0,-0.0
1.365,37.9,forward,2.0463,-6.0,-0.0
1.568,38.1,forward,2.0543,-6.0,-0.0
1.767,38.3,forward,2.0636,-6.0,-0.0
1.966,38.4,forward,2.0715,-6.0,0.0
2.165,38.6,forward,2.0809,-6.0,-0.0
2.368,38.8,forward,2.0893,-6.0,-0.0
2.566,39.0,forward,2.0982,-6.0,-0.0
2.77,39.2,forward,2.1061,-6.0,-0.0
2.965,39.4,forward,2.1159,-6.0,-0.0
3.166,39.5,forward,2.1244,-6.0,-0.0
3.365,39.7,forward,2.1323,-6.0,-0.0
3.566,39.9,forward,2.1412,-6.0,0.0
3.765,40.1,forward,2.1505,-6.0,0.0
3.966,40.3,forward,2.1589,-6.0,0.0
4.166,40.5,forward,2.1673,-6.0,0.0
4.365,40.7,forward,2.1762,-6.0,0.0
4.566,40.8,forward,2.1846,-6.0,0.0
4.766,41.0,forward,2.193,-6.0,0.0
4.965,41.2,forward,2.2024,-6.0,0.0
5.166,41.4,forward,2.2108,-6.0,0.0
5.365,41.6,forward,2.2192,-6.0,0.0
5.566,41.8,forward,2.2271,-6.0,0.0
5.768,41.9,forward,2.236,-6.0,0.0
5.965,42.1,forward,2.2444,-6.0,0.0
6.167,42.3,forward,2.2538,-6.0,0.0
6.365,42.5,forward,2.2617,-6.0,0.0
6.565,42.7,forward,2.2697,-6.0,0.0
6.768,42.8,forward,2.2757,-6.0,0.0
6.966,42.9,forward,2.2832,-6.0,-0.0
7.165,43.1,forward,2.2916,-6.0,-0.0
7.365,43.3,forward,2.2986,-6.0,-0.0
7.566,43.5,forward,2.307,-6.0,-0.0
7.767,43.6,forward,2.3155,-6.0,-0.0
7.971,43.8,forward,2.3234,-6.0,-0.0
8.165,44.0,forward,2.3323,-6.0,-0.0
8.365,44.2,forward,2.3397,-6.0,-0.0
8.566,44.3,forward,2.3477,-6.0,0.0
8.766,44.5,forward,2.3533,-6.0,0.0
8.97,44.6,forward,2.3598,-6.0,0.0
9.168,44.7,forward,2.3673,-6.0,0.0
9.366,44.9,forward,2.3753,-6.0,0.0
9.566,45.1,forward,2.3823,-6.0,0.0
9.799,45.2,forward,2.3865,-6.0,0.0
9.969,45.4,forward,2.3968,-6.0,-0.0
10.178,45.5,forward,2.4019,-6.0,-0.0
10.365,45.6,forward,2.4066,-6.0,-0.0
10.566,45.8,forward,2.414,-6.0,-0.0
10.766,45.9,forward,2.4215,-6.0,-0.0
10.966,46.1,forward,2.4281,-6.0,-0.0
11.166,46.2,forward,2.4346,-6.0,-0.0
11.374,46.4,forward,2.4421,-6.0,-0.0
11.567,46.5,forward,2.4486,-6.0,-0.0
11.766,46.6,forward,2.4547,-6.0,-0.0
11.966,46.7,forward,2.4584,-6.0,-0.0
12.166,46.9,forward,2.4659,-6.0,-0.0
12.366,47.0,forward,2.4734,-6.0,-0.0
12.574,47.2,forward,2.4799,-6.0,-0.0
12.766,47.3,forward,2.486,-6.0,-0.0
12.966,47.5,forward,2.4944,-6.0,-0.0
13.166,47.6,forward,2.5023,-6.0,-0.0
13.365,47.8,forward,2.5103,-6.0,-0.0
13.566,47.9,forward,2.5164,-6.0,-0.0
13.765,48.1,forward,2.5229,-6.0,-0.0
13.966,48.2,forward,2.5299,-6.0,-0.0
14.166,48.4,forward,2.5379,-6.0,-0.0
14.365,48.6,forward,2.5458,-6.0,-0.0
14.566,48.7,forward,2.5533,-6.0,-0.0
14.766,48.9,forward,2.5608,-6.0,-0.0
14.966,49.1,forward,2.5687,-6.0,-0.0
15.166,49.2,forward,2.5771,-6.0,-0.0
15.366,49.4,forward,2.5851,-6.0,-0.0
15.566,49.6,forward,2.5935,-6.0,-0.0
15.765,49.8,forward,2.6023,-6.0,-0.0
15.965,49.9,forward,2.6098,-6.0,-0.0
16.167,50.1,forward,2.6173,-6.0,-0.0
16.366,50.3,forward,2.6252,-6.0,-0.0
16.566,50.5,forward,2.6346,-6.0,-0.0
16.766,50.7,forward,2.643,-6.0,-0.0
16.968,50.8,forward,2.6519,-6.0,-0.0
17.166,51.0,forward,2.6603,-6.0,-0.0
17.365,51.2,forward,2.6678,-6.0,-0.0
17.566,51.4,forward,2.6766,-6.0,-0.0
17.766,51.6,forward,2.6855,-6.0,-0.0
17.966,51.7,forward,2.6944,-6.0,-0.0
18.166,51.9,forward,2.7033,-6.0,-0.0
18.366,52.1,forward,2.7112,-6.0,-0.0
18.566,52.3,forward,2.7206,-6.0,-0.0
18.766,52.5,forward,2.7294,-6.0,-0.0
18.965,52.7,forward,2.7378,-6.0,-0.0
19.169,52.9,forward,2.7463,-6.0,-0.0
19.367,53.0,forward,2.7551,-6.0,-0.0
19.565,53.2,forward,2.7631,-6.0,-0.0
19.766,53.4,forward,2.772,-6.0,-0.0
19.966,53.6,forward,2.7808,-6.0,-0.0
20.166,53.8,forward,2.7892,-6.0,-0.0
22.286,53.9,idle,2.7939,-6.0,-0.0
22.464,53.9,turn,2.7939,-6.0,-0.0
22.566,55.8,turn,2.7977,-6.0,0.0
22.772,55.9,turn,2.7977,-6.0,0.0
22.966,56.1,turn,2.7977,-6.0,0.0
23.166,56.3,turn,2.7977,-6.0,0.0
23.366,56.4,turn,2.7977,-6.0,0.0
23.573,56.6,turn,2.7977,-6.0,0.0
23.767,56.7,turn,2.7977,-6.0,0.0
23.965,56.9,turn,2.7977,-6.0,0.0
24.166,57.1,turn,2.7977,-6.0,0.0
24.367,57.2,turn,2.7977,-6.0,0.0
24.567,57.4,turn,2.7977,-6.0,0.0
24.766,57.6,turn,2.7977,-6.0,0.0
24.966,57.8,turn,2.7977,-6.0,0.0
25.166,57.9,turn,2.7977,-6.0,0.0
25.366,58.1,turn,2.7977,-6.0,0.0
26.394,58.2,turn,2.7977,-6.0,0.0
26.579,58.3,turn,2.7977,-6.0,0.0
27.893,58.4,turn,2.7977,-6.0,0.0
27.969,58.5,turn,2.7977,-6.0,0.0
28.169,58.6,turn,2.7977,-6.0,0.0
28.372,58.8,turn,2.7977,-6.0,0.0
28.566,58.9,turn,2.7977,-6.0,0.0
28.768,59.1,turn,2.7977,-6.0,0.0
28.965,59.3,turn,2.7977,-6.0,0.0
29.167,59.4,turn,2.7977,-6.0,0.0
29.366,59.6,turn,2.7977,-6.0,0.0
29.566,59.7,turn,2.7977,-6.0,0.0
29.766,59.9,turn,2.7977,-6.0,0.0
29.967,60.0,turn,2.7977,-6.0,0.0
30.166,60.2,turn,2.7977,-6.0,0.0
30.373,60.3,turn,2.7977,-6.0,0.0
30.566,60.5,turn,2.7977,-6.0,0.0
30.768,60.6,turn,2.7977,-6.0,0.0
30.971,60.8,turn,2.7977,-6.0,0.0
31.166,61.0,turn,2.7977,-6.0,0.0
31.367,61.2,turn,2.7977,-6.0,0.0
31.565,61.3,turn,2.7977,-6.0,0.0
31.768,61.5,turn,2.7977,-6.0,0.0
31.966,61.6,turn,2.7977,-6.0,0.0
32.166,61.8,turn,2.7977,-6.0,0.0
32.366,62.0,turn,2.7977,-6.0,0.0
32.569,62.1,turn,2.7977,-6.0,0.0
32.766,62.3,turn,2.7977,-6.0,0.0
32.966,62.5,turn,2.7977,-6.0,0.01
33.166,62.6,turn,2.7977,-6.0,0.01
33.368,62.8,turn,2.7977,-6.0,0.01
33.57,62.9,turn,2.7977,-6.0,0.01
33.766,63.1,turn,2.7977,-6.0,0.01
33.966,63.3,turn,2.7977,-6.0,0.01
34.175,63.5,turn,2.7977,-6.0,0.01
34.365,63.7,turn,2.7977,-6.0,0.01
34.567,63.8,turn,2.7977,-6.0,0.01
34.766,64.0,turn,2.7977,-6.0,0.01
34.967,64.2,turn,2.7977,-6.0,0.01
35.166,64.3,turn,2.7977,-6.0,0.01
35.365,64.5,turn,2.7977,-6.0,0.01
35.566,64.7,turn,2.7977,-6.0,0.01
35.766,64.8,turn,2.7977,-6.0,0.01
35.965,65.0,turn,2.7977,-6.0,0.01
36.166,65.2,turn,2.7977,-6.0,0.01
36.366,65.4,turn,2.7977,-6.0,0.01
36.568,65.5,turn,2.7977,-6.0,0.01
36.777,65.7,turn,2.7977,-6.0,0.01
36.966,65.9,turn,2.7977,-6.0,0.01
37.165,66.1,turn,2.7977,-6.0,0.01
37.367,66.3,turn,2.7977,-6.0,0.01
37.566,66.5,turn,2.7977,-6.0,0.01
37.765,66.7,turn,2.7977,-6.0,0.02
37.965,66.9,turn,2.7977,-6.0,0.02
38.166,67.0,turn,2.7977,-6.0,0.02
38.366,67.2,turn,2.7977,-6.0,0.02
38.566,67.4,turn,2.7977,-6.0,0.02
38.766,67.6,turn,2.7977,-6.0,0.02
38.965,67.8,turn,2.7977,-6.0,0.02
39.166,68.0,turn,2.7977,-6.0,0.03
39.366,68.1,turn,2.7977,-6.0,0.03
39.571,68.3,turn,2.7977,-6.0,0.03
39.767,68.5,turn,2.7977,-6.0,0.03
39.965,68.7,turn,2.7977,-6.0,0.03
40.166,68.9,turn,2.7977,-6.0,0.04
40.366,69.1,turn,2.7977,-6.0,0.04
40.568,69.2,turn,2.7977,-6.0,0.04
40.767,69.4,turn,2.7977,-6.0,0.04
40.969,69.5,turn,2.7977,-6.0,0.04
41.166,69.7,turn,2.7977,-6.0,0.05
41.367,69.8,turn,2.7977,-6.0,0.05
41.567,70.0,turn,2.7977,-6.0,0.05
41.766,70.1,turn,2.7977,-6.0,0.05
41.966,70.3,turn,2.7977,-6.0,0.06
42.165,70.5,turn,2.7977,-6.0,0.06
42.366,70.7,turn,2.7977,-6.0,0.06
