real_elapsed_s,sim_time_s,phase,gt_x,gt_y,gt_yaw_deg
0.471,35.5,forward,2.0,-6.0,0.0
0.629,35.9,forward,2.0001,-6.0,0.0
0.819,36.1,forward,2.0002,-6.0,0.0
1.019,36.3,forward,2.0003,-6.0,0.0
1.219,36.4,forward,2.0005,-6.0,0.0
1.42,36.6,forward,2.0006,-6.0,0.0
1.62,36.8,forward,2.0007,-6.0,0.0
1.819,37.0,forward,2.0008,-6.0,0.0
2.019,37.1,forward,2.0009,-6.0,0.0
2.219,37.3,forward,2.001,-6.0,0.0
2.423,37.4,forward,2.0011,-6.0,0.0
2.621,37.6,forward,2.0013,-6.0,0.0
2.819,37.8,forward,2.0014,-6.0,0.0
3.021,38.0,forward,2.0015,-6.0,0.0
3.219,38.1,forward,2.0016,-6.0,0.0
3.419,38.3,forward,2.0018,-6.0,0.0
3.62,38.5,forward,2.0019,-6.0,0.0
3.819,38.7,forward,2.002,-6.0,0.0
4.03,38.8,forward,2.0021,-6.0,0.0
4.219,39.0,forward,2.0022,-6.0,0.0
4.421,39.1,forward,2.0023,-6.0,0.0
4.627,39.3,forward,2.0024,-6.0,0.0
4.832,39.4,forward,2.0025,-6.0,0.0
5.019,39.6,forward,2.0026,-6.0,0.0
5.219,39.8,forward,2.0027,-6.0,0.0
5.419,40.0,forward,2.0029,-6.0,0.0
5.619,40.2,forward,2.003,-6.0,0.0
5.819,40.3,forward,2.0031,-6.0,0.0
6.019,40.5,forward,2.0032,-6.0,0.0
6.219,40.7,forward,2.0034,-6.0,0.0
6.419,40.9,forward,2.0035,-6.0,0.0
6.619,41.1,forward,2.0036,-6.0,0.0
6.823,41.3,forward,2.0037,-6.0,0.0
7.023,41.5,forward,2.0039,-6.0,0.0
7.219,41.6,forward,2.004,-6.0,0.0
7.419,41.8,forward,2.0041,-6.0,0.0
7.619,42.0,forward,2.0043,-6.0,0.0
7.824,42.2,forward,2.0044,-6.0,0.0
8.019,42.4,forward,2.0045,-6.0,0.0
8.219,42.5,forward,2.0046,-6.0,0.0
8.419,42.7,forward,2.0048,-6.0,0.0
8.619,42.9,forward,2.0049,-6.0,0.0
8.819,43.1,forward,2.005,-6.0,0.0
9.019,43.3,forward,2.0051,-6.0,0.0
9.219,43.5,forward,2.0053,-6.0,0.0
9.419,43.7,forward,2.0054,-6.0,0.0
9.619,43.9,forward,2.0055,-6.0,0.0
9.819,44.0,forward,2.0057,-6.0,0.0
10.024,44.2,forward,2.0058,-6.0,0.0
10.22,44.4,forward,2.0059,-6.0,0.0
10.419,44.6,forward,2.0061,-6.0,0.0
10.619,44.8,forward,2.0062,-6.0,0.01
10.819,45.0,forward,2.0063,-6.0,0.01
11.019,45.2,forward,2.0064,-6.0,0.01
11.219,45.4,forward,2.0066,-6.0,0.01
11.42,45.6,forward,2.0067,-6.0,0.01
11.62,45.8,forward,2.0068,-6.0,0.01
11.82,45.9,forward,2.007,-6.0,0.01
12.019,46.1,forward,2.0071,-6.0,0.01
12.223,46.3,forward,2.0072,-6.0,0.01
12.419,46.4,forward,2.0073,-6.0,0.01
12.619,46.6,forward,2.0074,-6.0,0.01
12.819,46.8,forward,2.0076,-6.0,0.01
13.019,47.0,forward,2.0077,-6.0,0.01
13.219,47.2,forward,2.0078,-6.0,0.02
13.427,47.4,forward,2.0079,-6.0,0.02
13.622,47.6,forward,2.0081,-6.0,0.02
13.819,47.7,forward,2.0082,-6.0,0.02
14.019,47.9,forward,2.0083,-6.0,0.02
14.222,48.1,forward,2.0084,-6.0,0.02
14.421,48.3,forward,2.0085,-6.0,0.03
14.621,48.4,forward,2.0087,-6.0,0.03
14.819,48.6,forward,2.0088,-5.9999,0.03
15.019,48.8,forward,2.0089,-5.9999,0.03
15.219,49.0,forward,2.009,-5.9999,0.03
15.419,49.2,forward,2.0092,-5.9999,0.04
15.622,49.4,forward,2.0093,-5.9999,0.04
15.821,49.5,forward,2.0094,-5.9999,0.04
16.019,49.7,forward,2.0095,-5.9999,0.05
16.22,49.8,forward,2.0096,-5.9999,0.05
16.419,50.0,forward,2.0098,-5.9999,0.05
16.619,50.1,forward,2.0099,-5.9999,0.06
16.819,50.3,forward,2.01,-5.9999,0.06
17.904,50.4,forward,2.0101,-5.9999,0.07
19.16,50.5,forward,2.0101,-5.9999,0.07
19.219,50.5,forward,2.0102,-5.9999,0.07
19.419,50.8,forward,2.0104,-5.9999,0.08
19.619,51.0,forward,2.0105,-5.9998,0.09
19.819,51.2,forward,2.0107,-5.9998,0.1
20.019,51.3,forward,2.0108,-5.9998,0.1
20.219,51.5,forward,2.0109,-5.9998,0.11
20.419,51.6,forward,2.0111,-5.9998,0.12
22.49,51.7,idle,2.0111,-5.9998,0.12
22.675,51.7,turn,2.0111,-5.9998,0.12
22.819,53.5,turn,2.0112,-5.9998,0.13
23.02,53.7,turn,2.0112,-5.9998,0.13
23.227,53.8,turn,2.0112,-5.9998,0.14
23.42,54.0,turn,2.0112,-5.9998,0.14
23.619,54.1,turn,2.0112,-5.9998,0.14
23.82,54.3,turn,2.0112,-5.9998,0.14
24.019,54.4,turn,2.0112,-5.9998,0.15
24.219,54.6,turn,2.0112,-5.9998,0.15
24.423,54.7,turn,2.0112,-5.9998,0.15
24.619,54.9,turn,2.0112,-5.9998,0.16
24.828,55.0,turn,2.0112,-5.9998,0.16
25.019,55.2,turn,2.0112,-5.9998,0.17
25.222,55.4,turn,2.0112,-5.9998,0.17
25.421,55.5,turn,2.0112,-5.9998,0.17
25.619,55.6,turn,2.0112,-5.9998,0.18
25.82,55.8,turn,2.0112,-5.9997,0.18
26.019,56.0,turn,2.0112,-5.9997,0.19
26.219,56.2,turn,2.0112,-5.9997,0.19
26.42,56.3,turn,2.0112,-5.9997,0.2
26.63,56.5,turn,2.0112,-5.9997,0.2
26.823,56.7,turn,2.0112,-5.9997,0.21
27.019,56.8,turn,2.0112,-5.9997,0.22
27.219,57.0,turn,2.0112,-5.9997,0.22
27.422,57.1,turn,2.0112,-5.9997,0.23
27.626,57.3,turn,2.0112,-5.9997,0.23
27.819,57.4,turn,2.0112,-5.9997,0.24
28.019,57.6,turn,2.0113,-5.9997,0.24
28.219,57.8,turn,2.0113,-5.9997,0.25
28.422,57.9,turn,2.0113,-5.9997,0.25
28.619,58.1,turn,2.0113,-5.9997,0.26
28.822,58.3,turn,2.0113,-5.9997,0.27
29.019,58.5,turn,2.0113,-5.9997,0.27
29.219,58.6,turn,2.0113,-5.9996,0.28
29.424,58.8,turn,2.0113,-5.9996,0.29
29.621,59.0,turn,2.0113,-5.9996,0.29
29.819,59.1,turn,2.0113,-5.9996,0.3
30.019,59.3,turn,2.0113,-5.9996,0.31
30.219,59.5,turn,2.0113,-5.9996,0.32
30.42,59.6,turn,2.0113,-5.9996,0.32
30.619,59.7,turn,2.0113,-5.9996,0.33
30.819,59.9,turn,2.0113,-5.9996,0.33
31.019,60.1,turn,2.0114,-5.9996,0.34
31.219,60.2,turn,2.0114,-5.9996,0.35
31.419,60.4,turn,2.0114,-5.9996,0.35
31.619,60.5,turn,2.0114,-5.9996,0.36
31.819,60.7,turn,2.0114,-5.9996,0.36
32.019,60.9,turn,2.0114,-5.9996,0.37
32.219,61.0,turn,2.0114,-5.9996,0.37
32.42,61.2,turn,2.0114,-5.9995,0.38
32.622,61.3,turn,2.0114,-5.9995,0.38
32.819,61.6,turn,2.0114,-5.9995,0.39
33.019,61.7,turn,2.0114,-5.9995,0.39
33.219,61.9,turn,2.0114,-5.9995,0.4
33.419,62.1,turn,2.0114,-5.9995,0.41
33.619,62.3,turn,2.0114,-5.9995,0.41
33.819,62.5,turn,2.0114,-5.9995,0.42
34.019,62.7,turn,2.0114,-5.9995,0.43
34.219,62.9,turn,2.0114,-5.9995,0.43
34.419,63.1,turn,2.0114,-5.9995,0.44
34.619,63.3,turn,2.0114,-5.9995,0.45
34.819,63.5,turn,2.0114,-5.9995,0.45
35.019,63.7,turn,2.0114,-5.9995,0.46
35.22,63.9,turn,2.0114,-5.9995,0.47
35.419,64.0,turn,2.0114,-5.9994,0.48
35.619,64.2,turn,2.0114,-5.9994,0.49
35.819,64.4,turn,2.0115,-5.9994,0.49
36.019,64.6,turn,2.0115,-5.9994,0.5
36.219,64.8,turn,2.0115,-5.9994,0.51
36.419,65.0,turn,2.0115,-5.9994,0.52
36.619,65.2,turn,2.0115,-5.9994,0.53
36.819,65.4,turn,2.0115,-5.9994,0.53
37.019,65.6,turn,2.0115,-5.9994,0.54
37.219,65.8,turn,2.0115,-5.9994,0.55
37.419,66.0,turn,2.0116,-5.9994,0.55
37.619,66.2,turn,2.0116,-5.9994,0.56
37.819,66.3,turn,2.0116,-5.9994,0.56
38.019,66.5,turn,2.0116,-5.9994,0.57
38.219,66.7,turn,2.0116,-5.9993,0.58
38.419,66.9,turn,2.0116,-5.9993,0.58
38.619,67.1,turn,2.0116,-5.9993,0.59
38.819,67.3,turn,2.0116,-5.9993,0.6
39.02,67.5,turn,2.0116,-5.9993,0.6
39.219,67.7,turn,2.0116,-5.9993,0.61
39.419,67.9,turn,2.0116,-5.9993,0.62
39.619,68.1,turn,2.0116,-5.9993,0.62
39.819,68.3,turn,2.0116,-5.9993,0.63
40.02,68.5,turn,2.0116,-5.9993,0.64
40.219,68.6,turn,2.0116,-5.9993,0.64
40.419,68.8,turn,2.0116,-5.9993,0.65
40.619,69.0,turn,2.0116,-5.9993,0.66
40.819,69.2,turn,2.0116,-5.9993,0.66
41.019,69.4,turn,2.0116,-5.9992,0.67
41.219,69.6,turn,2.0116,-5.9992,0.68
41.419,69.8,turn,2.0116,-5.9992,0.69
41.619,70.0,turn,2.0116,-5.9992,0.69
41.819,70.2,turn,2.0116,-5.9992,0.7
42.02,70.4,turn,2.0116,-5.9992,0.71
42.219,70.6,turn,2.0116,-5.9992,0.72
42.419,70.8,turn,2.0117,-5.9992,0.72
42.619,71.0,turn,2.0117,-5.9992,0.73
