real_elapsed_s,sim_time_s,phase,gt_x,gt_y,gt_yaw_deg
0.604,,idle,,,
0.705,,idle,,,
0.905,,idle,,,
1.105,,idle,,,
1.305,,idle,,,
1.505,,idle,,,
1.705,,idle,,,
1.904,,idle,,,
2.105,,idle,,,
2.305,,idle,,,
2.506,,idle,,,
2.706,,idle,,,
2.905,,idle,,,
3.107,,idle,,,
3.319,,idle,,,
3.504,,idle,2.0,-6.0,0.0
3.706,37.9,forward,2.0004,-6.0,-0.0
3.906,38.1,forward,2.0028,-6.0,0.0
4.104,38.2,forward,2.003,-6.0,0.0
4.305,38.4,forward,2.0031,-6.0,0.0
4.506,38.5,forward,2.0032,-6.0,0.0
4.706,38.7,forward,2.0033,-6.0,0.0
4.904,38.9,forward,2.0034,-6.0,0.0
5.105,39.1,forward,2.0035,-6.0,0.0
5.305,39.2,forward,2.0036,-6.0,0.0
5.504,39.4,forward,2.0038,-6.0,0.0
5.705,39.6,forward,2.0039,-6.0,0.0
5.904,39.8,forward,2.004,-6.0,0.0
6.105,40.0,forward,2.0041,-6.0,0.0
6.304,40.2,forward,2.0043,-6.0,0.0
6.504,40.3,forward,2.0044,-6.0,0.0
6.709,40.5,forward,2.0045,-6.0,0.0
6.905,40.7,forward,2.0046,-6.0,0.0
7.105,40.8,forward,2.0047,-6.0,0.0
7.305,41.0,forward,2.0048,-6.0,0.0
7.506,41.1,forward,2.0049,-6.0,0.0
7.704,41.3,forward,2.005,-6.0,0.0
7.913,41.4,forward,2.0051,-6.0,0.0
8.105,41.6,forward,2.0052,-6.0,0.0
8.304,41.7,forward,2.0053,-6.0,0.0
8.506,41.8,forward,2.0054,-6.0,0.0
8.711,42.0,forward,2.0055,-6.0,0.0
8.905,42.1,forward,2.0056,-6.0,0.0
9.108,42.3,forward,2.0057,-6.0,0.0
9.305,42.4,forward,2.0058,-6.0,0.0
9.505,42.6,forward,2.0059,-6.0,0.0
9.705,42.8,forward,2.006,-6.0,0.0
9.904,42.9,forward,2.0062,-6.0,0.0
10.105,43.1,forward,2.0063,-6.0,0.0
10.305,43.3,forward,2.0064,-6.0,0.0
10.505,43.5,forward,2.0065,-6.0,0.0
10.707,43.6,forward,2.0066,-6.0,0.0
10.905,43.8,forward,2.0068,-6.0,0.0
11.104,44.0,forward,2.0069,-6.0,0.0
11.304,44.2,forward,2.007,-6.0,0.0
11.505,44.3,forward,2.0071,-6.0,0.0
11.704,44.5,forward,2.0072,-6.0,0.0
11.905,44.7,forward,2.0074,-6.0,0.0
12.105,44.9,forward,2.0075,-6.0,0.0
12.309,45.1,forward,2.0076,-6.0,0.0
12.51,45.2,forward,2.0077,-6.0,0.0
12.704,45.3,forward,2.0078,-6.0,0.0
12.904,45.5,forward,2.0079,-6.0,0.0
13.117,45.6,forward,2.008,-6.0,0.0
13.304,45.8,forward,2.0081,-6.0,0.0
13.505,46.0,forward,2.0083,-6.0,0.0
13.704,46.2,forward,2.0084,-6.0,0.0
13.904,46.4,forward,2.0085,-6.0,0.0
14.106,46.5,forward,2.0086,-6.0,0.0
14.32,46.7,forward,2.0087,-6.0,0.0
14.504,46.9,forward,2.0089,-6.0,0.0
14.705,47.1,forward,2.009,-6.0,0.0
14.905,47.2,forward,2.0091,-6.0,0.01
15.106,47.5,forward,2.0092,-6.0,0.01
15.304,47.6,forward,2.0094,-6.0,0.01
15.505,47.8,forward,2.0095,-6.0,0.01
15.708,48.0,forward,2.0096,-6.0,0.01
15.904,48.2,forward,2.0097,-6.0,0.01
16.104,48.4,forward,2.0099,-6.0,0.01
16.304,48.6,forward,2.01,-6.0,0.01
16.504,48.8,forward,2.0101,-6.0,0.01
16.705,49.0,forward,2.0103,-6.0,0.01
16.904,49.1,forward,2.0104,-6.0,0.01
17.104,49.3,forward,2.0105,-6.0,0.01
17.31,49.5,forward,2.0106,-6.0,0.01
17.505,49.6,forward,2.0107,-6.0,0.02
17.705,49.8,forward,2.0109,-6.0,0.02
17.904,50.0,forward,2.011,-6.0,0.02
18.104,50.2,forward,2.0111,-6.0,0.02
19.258,50.4,forward,2.0113,-6.0,0.02
19.305,50.5,forward,2.0113,-6.0,0.02
20.5,50.5,forward,2.0113,-6.0,0.02
20.507,50.5,forward,2.0113,-6.0,0.02
20.707,50.8,forward,2.0115,-6.0,0.03
20.905,50.9,forward,2.0116,-6.0,0.03
21.105,51.1,forward,2.0118,-5.9999,0.03
21.305,51.3,forward,2.0119,-5.9999,0.03
21.504,51.5,forward,2.012,-5.9999,0.04
21.704,51.7,forward,2.0121,-5.9999,0.04
21.904,51.9,forward,2.0123,-5.9999,0.04
22.104,52.1,forward,2.0124,-5.9999,0.05
22.304,52.3,forward,2.0125,-5.9999,0.05
22.505,52.5,forward,2.0127,-5.9999,0.06
22.704,52.7,forward,2.0128,-5.9999,0.06
22.904,52.9,forward,2.013,-5.9999,0.07
23.105,53.1,forward,2.0132,-5.9999,0.07
23.305,53.2,forward,2.0133,-5.9999,0.08
23.504,53.4,forward,2.0135,-5.9998,0.09
25.578,53.5,idle,2.0135,-5.9998,0.09
25.705,55.5,turn,2.0135,-5.9998,0.09
25.905,55.7,turn,2.0135,-5.9998,0.1
26.104,55.9,turn,2.0135,-5.9998,0.1
26.305,56.1,turn,2.0135,-5.9998,0.1
26.51,56.3,turn,2.0135,-5.9998,0.1
26.705,56.5,turn,2.0135,-5.9998,0.11
26.904,56.7,turn,2.0135,-5.9998,0.11
27.104,56.8,turn,2.0135,-5.9998,0.11
27.305,57.0,turn,2.0135,-5.9998,0.11
27.506,57.2,turn,2.0135,-5.9998,0.12
27.705,57.3,turn,2.0135,-5.9998,0.12
27.905,57.5,turn,2.0135,-5.9998,0.12
28.104,57.7,turn,2.0135,-5.9998,0.13
28.304,57.9,turn,2.0136,-5.9998,0.13
28.504,58.1,turn,2.0136,-5.9998,0.13
28.704,58.3,turn,2.0136,-5.9998,0.14
28.904,58.5,turn,2.0136,-5.9998,0.14
29.105,58.6,turn,2.0136,-5.9998,0.15
29.305,58.8,turn,2.0136,-5.9998,0.15
29.505,59.0,turn,2.0136,-5.9998,0.16
29.707,59.2,turn,2.0136,-5.9998,0.16
29.904,59.4,turn,2.0136,-5.9998,0.17
30.105,59.6,turn,2.0136,-5.9998,0.17
30.305,59.8,turn,2.0136,-5.9998,0.18
30.505,60.0,turn,2.0136,-5.9998,0.18
30.704,60.2,turn,2.0136,-5.9998,0.19
30.904,60.4,turn,2.0136,-5.9998,0.19
31.105,60.6,turn,2.0136,-5.9998,0.2
31.304,60.8,turn,2.0136,-5.9998,0.21
31.505,61.0,turn,2.0136,-5.9998,0.21
31.705,61.1,turn,2.0136,-5.9998,0.22
31.904,61.3,turn,2.0136,-5.9998,0.22
32.104,61.5,turn,2.0136,-5.9997,0.23
32.304,61.7,turn,2.0136,-5.9997,0.24
32.515,61.9,turn,2.0136,-5.9997,0.25
32.705,62.1,turn,2.0136,-5.9997,0.25
32.904,62.2,turn,2.0136,-5.9997,0.26
33.106,62.4,turn,2.0136,-5.9997,0.27
33.304,62.6,turn,2.0136,-5.9997,0.28
33.505,62.8,turn,2.0137,-5.9997,0.28
33.708,63.0,turn,2.0137,-5.9997,0.29
