real_elapsed_s,sim_time_s,phase,gt_x,gt_y,gt_yaw_deg
0.767,55.8,forward,2.0001,-6.0,0.0
0.965,56.0,forward,2.0001,-6.0,0.0
1.166,56.1,forward,2.0001,-6.0,0.0
1.365,56.3,forward,2.0067,-6.0,0.0
1.565,56.5,forward,2.0244,-6.0,0.0
1.765,56.7,forward,2.0421,-6.0,0.0
1.965,56.9,forward,2.0589,-6.0,0.0
2.165,57.1,forward,2.074,-6.0,0.0
2.366,57.2,forward,2.0863,-6.0,0.0
2.565,57.4,forward,2.1032,-6.0,0.0
2.765,57.6,forward,2.1208,-6.0,0.0
2.97,57.8,forward,2.1359,-6.0,0.0
3.165,58.0,forward,2.1545,-6.0,0.0
3.365,58.2,forward,2.1713,-6.0,0.0
3.565,58.4,forward,2.1881,-6.0,-0.0
3.765,58.6,forward,2.2058,-6.0,-0.0
3.965,58.8,forward,2.2226,-6.0,-0.0
4.165,59.0,forward,2.2402,-6.0,-0.0
4.365,59.2,forward,2.2579,-6.0,-0.0
4.565,59.4,forward,2.2756,-6.0,-0.0
4.765,59.6,forward,2.2924,-6.0,-0.0
4.966,59.8,forward,2.3084,-6.0,-0.0
5.169,59.9,forward,2.3252,-6.0,-0.0
5.365,60.1,forward,2.3411,-6.0,-0.0
5.566,60.3,forward,2.3597,-6.0,-0.0
5.767,60.5,forward,2.3773,-6.0,-0.0
5.965,60.7,forward,2.3933,-6.0,-0.0
6.165,60.9,forward,2.411,-6.0,-0.0
6.365,61.1,forward,2.4286,-6.0,-0.0
6.565,61.3,forward,2.4454,-6.0,-0.0
6.765,61.5,forward,2.4631,-6.0,-0.0
6.965,61.7,forward,2.4799,-6.0,-0.0
7.165,61.9,forward,2.4976,-6.0,-0.0
7.365,62.1,forward,2.5144,-6.0,-0.0
7.565,62.3,forward,2.5313,-6.0,-0.0
7.765,62.5,forward,2.5489,-6.0,-0.0
7.965,62.7,forward,2.5666,-6.0,-0.0
8.165,62.9,forward,2.5843,-6.0,-0.0
8.365,63.1,forward,2.6011,-6.0,-0.0
8.565,63.3,forward,2.6188,-6.0,-0.0
8.765,63.5,forward,2.6365,-6.0,-0.0
8.965,63.7,forward,2.6533,-6.0,-0.0
9.165,63.8,forward,2.6692,-6.0,-0.0
9.365,64.0,forward,2.6869,-6.0,-0.0
9.565,64.2,forward,2.7046,-6.0,-0.0
9.765,64.4,forward,2.7223,-6.0,-0.0
9.965,64.6,forward,2.7391,-6.0,-0.0
10.165,64.8,forward,2.7568,-6.0,-0.0
10.365,65.0,forward,2.7745,-6.0,-0.0
10.566,65.2,forward,2.7913,-6.0,-0.0
10.765,65.4,forward,2.8081,-6.0,-0.0
10.97,65.6,forward,2.8222,-6.0,-0.0
11.166,65.7,forward,2.8382,-6.0,-0.0
11.366,65.9,forward,2.8559,-6.0,-0.0
11.567,66.1,forward,2.8727,-6.0,-0.0
11.765,66.3,forward,2.8886,-6.0,-0.0
11.965,66.5,forward,2.9045,-6.0,-0.0
12.165,66.7,forward,2.9204,-6.0,-0.0
12.365,66.9,forward,2.9381,-6.0,-0.0
12.567,67.1,forward,2.954,-6.0,-0.0
12.765,67.3,forward,2.9726,-6.0,-0.0
12.969,67.5,forward,2.9903,-6.0,-0.0
13.166,67.6,forward,3.0062,-6.0,-0.0
13.365,67.8,forward,3.023,-6.0,-0.0
13.565,68.0,forward,3.0389,-6.0,-0.0
13.765,68.2,forward,3.0566,-6.0,-0.0
13.966,68.4,forward,3.0734,-6.0,-0.0
14.166,68.5,forward,3.0867,-6.0,-0.0
14.367,68.7,forward,3.1017,-6.0,-0.0
14.567,68.9,forward,3.1159,-6.0,-0.0
14.766,69.0,forward,3.1265,-6.0,-0.0
14.969,69.2,forward,3.1407,-6.0,-0.0
15.172,69.3,forward,3.1539,-6.0,-0.0
15.366,69.5,forward,3.1663,-6.0,-0.0
15.567,69.6,forward,3.184,-6.0,-0.0
15.765,69.8,forward,3.1999,-6.0,-0.0
15.965,70.0,forward,3.2167,-6.0,-0.0
16.165,70.2,forward,3.2344,-6.0,-0.0
16.365,70.4,forward,3.2477,-6.0,-0.0
16.565,70.6,forward,3.2662,-6.0,-0.0
16.765,70.8,forward,3.2821,-6.0,-0.0
16.965,71.0,forward,3.2998,-6.0,-0.0
17.166,71.1,forward,3.3158,-6.0,-0.0
17.365,71.3,forward,3.3326,-6.0,-0.0
17.565,71.5,forward,3.3503,-6.0,-0.0
17.765,71.7,forward,3.3671,-6.0,-0.0
17.965,71.9,forward,3.3847,-6.0,-0.0
18.167,72.1,forward,3.4007,-6.0,-0.0
18.365,72.3,forward,3.4166,-6.0,-0.0
18.565,72.5,forward,3.4325,-6.0,-0.0
18.765,72.7,forward,3.4493,-6.0,-0.0
18.966,72.8,forward,3.4634,-6.0,-0.0
19.165,73.0,forward,3.4794,-6.0,-0.0
19.365,73.2,forward,3.4971,-6.0,-0.0
19.565,73.4,forward,3.5147,-6.0,-0.0
19.765,73.6,forward,3.5315,-6.0,-0.0
19.965,73.8,forward,3.5484,-6.0,-0.0
20.165,74.0,forward,3.5652,-6.0,-0.0
20.365,74.2,forward,3.5828,-6.0,-0.0
20.565,74.4,forward,3.5996,-6.0,-0.0
22.751,74.5,idle,3.6164,-6.0,-0.0
22.808,74.5,turn,3.6164,-6.0,-0.0
22.965,76.6,turn,3.6208,-6.0,1.71
23.165,76.8,turn,3.6208,-6.0001,4.7
23.365,77.0,turn,3.6208,-6.0001,7.5
23.565,77.2,turn,3.621,-6.0,10.42
23.769,77.4,turn,3.6212,-6.0,13.25
23.971,77.5,turn,3.6214,-6.0,15.88
24.165,77.7,turn,3.6216,-5.9999,18.15
24.365,77.9,turn,3.622,-5.9998,20.9
24.565,78.1,turn,3.6224,-6.0002,23.44
24.765,78.3,turn,3.6229,-6.0009,26.03
24.965,78.5,turn,3.6233,-6.0017,28.41
25.165,78.7,turn,3.6237,-6.0025,30.59
25.365,78.8,turn,3.6242,-6.0036,32.82
25.567,79.0,turn,3.6249,-6.0048,35.17
25.767,79.2,turn,3.6257,-6.0057,37.35
25.966,79.4,turn,3.6264,-6.0062,39.56
26.165,79.6,turn,3.6271,-6.0065,41.49
26.365,79.8,turn,3.6275,-6.007,43.7
26.565,80.0,turn,3.6279,-6.0075,45.88
26.765,80.2,turn,3.6282,-6.0079,47.92
26.966,80.4,turn,3.6289,-6.0084,50.01
27.165,80.6,turn,3.6298,-6.0088,51.84
27.365,80.7,turn,3.631,-6.0092,53.93
27.565,80.9,turn,3.6322,-6.0096,55.94
28.55,81.0,turn,3.633,-6.01,57.51
28.571,81.0,turn,3.6331,-6.01,57.75
