real_elapsed_s,sim_time_s,phase,gt_x,gt_y,gt_yaw_deg
0.656,188.7,forward,3.6517,-6.0001,-138.61
0.857,188.9,forward,3.6426,-6.0082,-138.51
1.058,189.0,forward,3.6318,-6.0177,-138.5
1.259,189.2,forward,3.6185,-6.0295,-138.5
1.456,189.4,forward,3.6071,-6.0395,-138.5
1.656,189.6,forward,3.5964,-6.049,-138.5
1.856,189.7,forward,3.5837,-6.0602,-138.5
2.057,189.9,forward,3.5717,-6.0709,-138.5
2.256,190.1,forward,3.559,-6.0821,-138.5
2.456,190.3,forward,3.5496,-6.0904,-138.5
2.658,190.4,forward,3.5369,-6.1017,-138.49
2.856,190.6,forward,3.5255,-6.1117,-138.49
3.056,190.8,forward,3.5142,-6.1218,-138.49
3.264,191.0,forward,3.5022,-6.1324,-138.49
3.466,191.1,forward,3.4895,-6.1436,-138.49
3.656,191.3,forward,3.4782,-6.1537,-138.49
3.856,191.5,forward,3.4662,-6.1643,-138.49
4.058,191.7,forward,3.4541,-6.1749,-138.49
4.258,191.9,forward,3.4421,-6.1856,-138.49
4.457,192.0,forward,3.4321,-6.1944,-138.49
4.656,192.2,forward,3.4214,-6.2039,-138.48
4.856,192.4,forward,3.408,-6.2157,-138.48
5.056,192.6,forward,3.3953,-6.227,-138.48
5.256,192.7,forward,3.3833,-6.2377,-138.47
5.457,192.9,forward,3.3726,-6.2471,-138.47
5.657,193.1,forward,3.3612,-6.2572,-138.47
5.858,193.3,forward,3.3492,-6.2678,-138.47
6.056,193.5,forward,3.3359,-6.2796,-138.47
6.256,193.7,forward,3.3225,-6.2915,-138.47
6.457,193.8,forward,3.3105,-6.3021,-138.47
6.656,194.0,forward,3.2985,-6.3127,-138.47
6.856,194.2,forward,3.2858,-6.324,-138.47
7.056,194.4,forward,3.2731,-6.3352,-138.47
7.267,194.6,forward,3.2611,-6.3459,-138.46
7.456,194.8,forward,3.249,-6.3565,-138.46
7.656,194.9,forward,3.2383,-6.366,-138.46
7.856,195.1,forward,3.2263,-6.3767,-138.46
8.702,195.2,forward,3.2196,-6.3826,-138.46
9.659,195.3,forward,3.2116,-6.3897,-138.46
9.856,195.5,forward,3.199,-6.4009,-138.46
10.058,195.7,forward,3.1856,-6.4127,-138.46
10.256,195.8,forward,3.177,-6.4204,-138.46
10.461,196.0,forward,3.1663,-6.4299,-138.46
10.656,196.2,forward,3.1523,-6.4423,-138.46
10.857,196.4,forward,3.139,-6.4541,-138.45
11.057,196.6,forward,3.1256,-6.4659,-138.45
11.256,196.8,forward,3.1135,-6.4766,-138.45
11.456,197.0,forward,3.1002,-6.4885,-138.45
11.656,197.2,forward,3.0874,-6.4997,-138.45
11.857,197.4,forward,3.0741,-6.5116,-138.45
12.056,197.6,forward,3.0614,-6.5228,-138.45
12.256,197.8,forward,3.0487,-6.5341,-138.45
12.456,198.0,forward,3.0354,-6.5459,-138.44
12.656,198.1,forward,3.0221,-6.5577,-138.44
12.858,198.3,forward,3.0094,-6.5689,-138.44
13.056,198.5,forward,2.9967,-6.5801,-138.44
13.256,198.7,forward,2.9834,-6.592,-138.44
13.456,198.9,forward,2.9707,-6.6032,-138.43
13.656,199.1,forward,2.9573,-6.6151,-138.43
13.856,199.3,forward,2.9446,-6.6264,-138.44
14.056,199.5,forward,2.9319,-6.6376,-138.43
14.256,199.7,forward,2.9186,-6.6495,-138.43
14.456,199.9,forward,2.9072,-6.6595,-138.43
14.656,200.1,forward,2.8939,-6.6713,-138.43
14.856,200.2,forward,2.8839,-6.6802,-138.43
15.056,200.4,forward,2.8726,-6.6902,-138.43
15.256,200.6,forward,2.8593,-6.7021,-138.43
15.456,200.8,forward,2.8466,-6.7133,-138.42
15.656,201.0,forward,2.8332,-6.7251,-138.42
15.856,201.2,forward,2.8205,-6.7364,-138.42
16.056,201.4,forward,2.8078,-6.7477,-138.42
16.256,201.6,forward,2.7945,-6.7596,-138.42
16.457,201.8,forward,2.7811,-6.7714,-138.42
16.658,202.0,forward,2.7677,-6.7833,-138.42
16.858,202.1,forward,2.7551,-6.7945,-138.42
17.056,202.3,forward,2.7438,-6.8045,-138.42
17.258,202.5,forward,2.7318,-6.8152,-138.41
17.456,202.7,forward,2.7185,-6.827,-138.41
17.657,202.9,forward,2.7058,-6.8382,-138.41
17.856,203.1,forward,2.6931,-6.8495,-138.41
18.056,203.3,forward,2.6811,-6.8601,-138.41
18.256,203.5,forward,2.6677,-6.872,-138.41
18.461,203.7,forward,2.655,-6.8833,-138.41
18.657,203.9,forward,2.6417,-6.8951,-138.41
18.856,204.0,forward,2.629,-6.9064,-138.41
19.056,204.2,forward,2.6163,-6.9177,-138.4
19.256,204.4,forward,2.6043,-6.9283,-138.4
19.456,204.6,forward,2.591,-6.9401,-138.4
19.656,204.8,forward,2.5784,-6.9514,-138.39
19.857,205.0,forward,2.565,-6.9632,-138.39
20.056,205.2,forward,2.5517,-6.975,-138.39
20.256,205.4,forward,2.539,-6.9863,-138.39
20.456,205.6,forward,2.5257,-6.9982,-138.39
22.657,205.8,idle,2.5123,-7.01,-138.39
22.856,207.9,turn,2.5084,-7.0132,-137.05
23.065,208.1,turn,2.5081,-7.0128,-135.29
23.256,208.3,turn,2.5078,-7.0123,-133.13
23.456,208.5,turn,2.5074,-7.0119,-131.09
23.656,208.7,turn,2.5066,-7.0114,-128.99
23.856,208.8,turn,2.5055,-7.011,-126.82
24.057,209.0,turn,2.5041,-7.0106,-124.6
24.256,209.2,turn,2.5028,-7.0101,-122.19
24.456,209.4,turn,2.5019,-7.0096,-119.94
24.656,209.6,turn,2.501,-7.009,-117.35
24.857,209.8,turn,2.5003,-7.0085,-114.8
25.057,210.0,turn,2.4998,-7.0079,-112.29
25.258,210.2,turn,2.4995,-7.0074,-109.82
25.456,210.4,turn,2.4992,-7.0068,-106.79
25.656,210.6,turn,2.4991,-7.0064,-103.69
25.859,210.7,turn,2.4991,-7.0061,-100.8
26.056,210.9,turn,2.4994,-7.0059,-97.66
26.256,211.1,turn,2.4995,-7.0057,-94.51
26.456,211.3,turn,2.4996,-7.0058,-91.42
26.656,211.5,turn,2.4996,-7.0057,-88.67
26.857,211.7,turn,2.4996,-7.0056,-85.64
27.056,211.8,turn,2.4995,-7.0056,-83.13
27.256,212.0,turn,2.4995,-7.0056,-80.3
27.456,212.2,turn,2.4995,-7.0055,-77.62
27.656,212.4,turn,2.4995,-7.0054,-74.52
27.861,212.6,turn,2.4994,-7.0052,-71.65
28.056,212.7,turn,2.4994,-7.0051,-68.88
