real_elapsed_s,sim_time_s,phase,gt_x,gt_y,gt_yaw_deg
0.388,36.1,forward,2.0006,-6.0,0.0
0.59,36.3,forward,2.0067,-6.0,0.0
0.791,36.4,forward,2.0151,-6.0,-0.0
0.992,36.6,forward,2.0244,-6.0,-0.0
1.188,36.8,forward,2.0333,-6.0,-0.0
1.388,37.0,forward,2.0427,-6.0,-0.0
1.588,37.2,forward,2.0511,-6.0,-0.0
1.788,37.4,forward,2.0599,-6.0,-0.0
1.988,37.6,forward,2.0693,-6.0,0.0
2.188,37.8,forward,2.0777,-6.0,-0.0
2.389,38.0,forward,2.0875,-6.0,-0.0
2.588,38.2,forward,2.0964,-6.0,-0.0
2.789,38.4,forward,2.1057,-6.0,-0.0
2.988,38.6,forward,2.1146,-6.0,-0.0
3.188,38.8,forward,2.1235,-6.0,-0.0
3.389,38.9,forward,2.131,-6.0,-0.0
3.588,39.1,forward,2.1408,-6.0,0.0
3.788,39.3,forward,2.1492,-6.0,0.0
3.989,39.5,forward,2.1576,-6.0,0.0
4.188,39.7,forward,2.1655,-6.0,0.0
4.388,39.8,forward,2.1735,-6.0,0.0
4.594,40.0,forward,2.1805,-6.0,0.0
4.796,40.2,forward,2.1889,-6.0,0.0
4.988,40.3,forward,2.1973,-6.0,0.0
5.188,40.5,forward,2.2053,-6.0,0.0
5.388,40.7,forward,2.2132,-6.0,0.0
5.588,40.8,forward,2.2197,-6.0,0.0
5.79,41.0,forward,2.2272,-6.0,0.0
5.989,41.2,forward,2.2347,-6.0,0.0
6.192,41.3,forward,2.2422,-6.0,0.0
6.388,41.5,forward,2.2506,-6.0,0.0
6.588,41.7,forward,2.259,-6.0,0.0
6.789,41.8,forward,2.2655,-6.0,0.0
6.995,42.0,forward,2.2735,-6.0,0.0
7.188,42.1,forward,2.2814,-6.0,-0.0
7.39,42.4,forward,2.2908,-6.0,-0.0
7.588,42.5,forward,2.2996,-6.0,-0.0
7.789,42.7,forward,2.3076,-6.0,-0.0
7.988,42.9,forward,2.3155,-6.0,-0.0
8.189,43.1,forward,2.3253,-6.0,-0.0
8.388,43.3,forward,2.3347,-6.0,-0.0
8.588,43.5,forward,2.3426,-6.0,0.0
8.789,43.6,forward,2.3515,-6.0,0.0
8.988,43.8,forward,2.3599,-6.0,0.0
9.188,44.0,forward,2.3679,-6.0,0.0
9.388,44.2,forward,2.3767,-6.0,0.0
9.589,44.4,forward,2.3851,-6.0,0.0
9.789,44.5,forward,2.3936,-6.0,-0.0
9.989,44.8,forward,2.4029,-6.0,-0.0
10.188,45.0,forward,2.4122,-6.0,-0.0
10.389,45.1,forward,2.4216,-6.0,-0.0
10.588,45.3,forward,2.4305,-6.0,-0.0
10.788,45.5,forward,2.4384,-6.0,-0.0
10.989,45.7,forward,2.4482,-6.0,-0.0
11.188,45.9,forward,2.4576,-6.0,-0.0
11.388,46.1,forward,2.466,-6.0,-0.0
11.589,46.3,forward,2.4744,-6.0,-0.0
11.789,46.5,forward,2.4823,-6.0,-0.0
11.989,46.6,forward,2.4917,-6.0,-0.0
12.189,46.8,forward,2.501,-6.0,-0.0
12.388,47.0,forward,2.5099,-6.0,-0.0
12.591,47.2,forward,2.5183,-6.0,-0.0
12.788,47.4,forward,2.5272,-6.0,-0.0
12.988,47.6,forward,2.5365,-6.0,-0.0
13.188,47.8,forward,2.5454,-6.0,-0.0
13.389,48.0,forward,2.5548,-6.0,-0.0
13.588,48.2,forward,2.5632,-6.0,-0.0
13.789,48.4,forward,2.5716,-6.0,-0.0
13.988,48.6,forward,2.5814,-6.0,-0.0
14.188,48.8,forward,2.5898,-6.0,-0.0
14.389,48.9,forward,2.5977,-6.0,-0.0
14.588,49.1,forward,2.6076,-6.0,-0.0
14.789,49.3,forward,2.615,-6.0,-0.0
14.988,49.5,forward,2.6248,-6.0,-0.0
15.188,49.7,forward,2.6342,-6.0,-0.0
16.626,49.7,forward,2.6347,-6.0,-0.0
16.788,50.1,forward,2.6515,-6.0,-0.0
16.99,50.3,forward,2.6613,-6.0,-0.0
17.188,50.5,forward,2.6702,-6.0,-0.0
17.388,50.7,forward,2.6795,-6.0,-0.0
17.588,50.9,forward,2.6889,-6.0,-0.0
17.788,51.1,forward,2.6982,-6.0,-0.0
17.988,51.3,forward,2.7066,-6.0,-0.0
18.189,51.5,forward,2.716,-6.0,-0.0
18.389,51.6,forward,2.7253,-6.0,-0.0
18.588,51.8,forward,2.7337,-6.0,-0.0
18.788,52.0,forward,2.7417,-6.0,-0.0
18.988,52.2,forward,2.7515,-6.0,-0.0
19.188,52.4,forward,2.7603,-6.0,-0.0
19.394,52.6,forward,2.7688,-6.0,-0.0
19.589,52.8,forward,2.7776,-6.0,-0.0
19.815,53.0,forward,2.7865,-6.0,-0.0
19.989,53.2,forward,2.7954,-6.0,-0.0
