t_s,raw_label,confidence
1.917,soil,0.751
3.08,soil,0.751
3.866,soil,0.621
4.534,soil,0.774
5.282,soil,0.645
6.073,soil,0.652
6.802,bedrock,0.702
7.554,soil,0.536
8.245,soil,0.514
9.058,bedrock,0.781
9.824,bedrock,0.647
10.35,bedrock,0.656
11.075,bedrock,0.577
11.731,bedrock,0.728
12.506,bedrock,0.753
13.243,bedrock,0.822
13.798,bedrock,0.872
14.505,bedrock,0.814
15.156,bedrock,0.758
15.689,bedrock,0.799
16.291,bedrock,0.889
16.968,bedrock,0.833
17.56,bedrock,0.889
18.028,bedrock,0.837
18.54,bedrock,0.826
19.163,bedrock,0.586
19.756,bedrock,0.562
20.314,bedrock,0.629
21.176,bedrock,0.753
22.157,bedrock,0.616
23.322,bedrock,0.756
23.905,bedrock,0.882
24.502,bedrock,0.884
25.172,bedrock,0.954
25.933,bedrock,0.964
26.683,bedrock,0.945
27.531,bedrock,0.975
28.3,bedrock,0.988
33.994,bedrock,0.971
34.33,unknown,0.0
35.143,bedrock,0.971
36.006,bedrock,0.971
36.924,bedrock,0.975
38.111,bedrock,0.961
39.142,bedrock,0.969
39.989,bedrock,0.97
40.621,bedrock,0.947
41.307,bedrock,0.978
42.044,bedrock,0.951
42.728,bedrock,0.931
43.43,bedrock,0.898
44.325,bedrock,0.78
45.017,bedrock,0.648
45.701,bedrock,0.512
46.235,bedrock,0.531
46.779,soil,0.511
47.268,soil,0.582
47.811,soil,0.668
48.338,soil,0.698
48.883,soil,0.691
49.4,soil,0.692
50.018,soil,0.677
50.563,soil,0.613
51.072,bedrock,0.602
51.618,soil,0.59
52.27,soil,0.514
52.805,bedrock,0.877
53.386,bedrock,0.507
54.091,soil,0.599
54.79,bedrock,0.671
55.548,bedrock,0.795
56.307,bedrock,0.752
56.914,bedrock,0.9
57.549,bedrock,0.68
58.269,bedrock,0.821
59.084,bedrock,0.641
59.711,bedrock,0.78
60.217,bedrock,0.824
60.832,bedrock,0.858
61.358,bedrock,0.836
61.876,bedrock,0.883
62.679,bedrock,0.86
63.367,bedrock,0.827
61.875,bedrock,0.923
66.565,bedrock,0.921
67.199,bedrock,0.921
67.765,bedrock,0.921
68.371,bedrock,0.928
68.909,bedrock,0.918
69.43,bedrock,0.936
70.075,bedrock,0.859
70.815,bedrock,0.78
71.567,bedrock,0.643
72.246,bedrock,0.748
72.861,bedrock,0.825
73.511,bedrock,0.813
73.961,bedrock,0.784
74.61,bedrock,0.898
75.13,bedrock,0.909
75.669,bedrock,0.892
76.193,bedrock,0.949
76.753,bedrock,0.979
77.289,bedrock,0.972
77.789,bedrock,0.962
78.353,bedrock,0.985
78.861,bedrock,0.985
79.363,bedrock,0.99
79.866,bedrock,0.975
80.434,bedrock,0.976
80.925,bedrock,0.979
81.396,bedrock,0.966
82.089,bedrock,0.96
82.67,bedrock,0.986
83.145,bedrock,0.982
84.012,bedrock,0.974
84.845,bedrock,0.986
85.669,bedrock,0.972
86.448,bedrock,0.964
87.156,bedrock,0.934
87.824,bedrock,0.867
88.391,bedrock,0.792
89.242,bedrock,0.603
89.843,bedrock,0.618
90.365,bedrock,0.609
90.985,bedrock,0.515
94.834,soil,0.607
95.297,soil,0.533
95.833,soil,0.598
96.5,soil,0.626
97.09,soil,0.615
97.696,soil,0.577
98.493,soil,0.567
99.121,soil,0.638
99.957,bedrock,0.538
100.71,bedrock,0.601
101.437,soil,0.528
102.064,bedrock,0.524
102.717,bedrock,0.791
103.323,bedrock,0.744
103.908,bedrock,0.661
104.649,bedrock,0.532
105.336,bedrock,0.584
105.881,bedrock,0.838
106.508,bedrock,0.702
107.114,bedrock,0.722
107.851,bedrock,0.863
108.436,bedrock,0.806
109.004,bedrock,0.888
109.568,bedrock,0.82
110.248,bedrock,0.799
110.835,bedrock,0.819
111.451,bedrock,0.755
112.017,bedrock,0.862
112.551,bedrock,0.837
113.043,bedrock,0.87
113.553,bedrock,0.876
114.168,bedrock,0.834
114.655,bedrock,0.81
115.181,bedrock,0.84
115.681,bedrock,0.925
116.269,bedrock,0.872
116.823,bedrock,0.898
117.331,bedrock,0.908
117.897,bedrock,0.925
118.597,bedrock,0.681
119.243,bedrock,0.678
119.948,bedrock,0.782
120.555,bedrock,0.844
121.209,bedrock,0.844
121.833,bedrock,0.821
122.503,bedrock,0.837
123.019,bedrock,0.932
123.577,bedrock,0.94
124.11,bedrock,0.981
124.628,bedrock,0.977
125.977,bedrock,0.982
128.773,bedrock,0.968
129.484,bedrock,0.982
130.092,bedrock,0.982
130.564,bedrock,0.989
131.159,bedrock,0.975
131.821,bedrock,0.977
132.354,bedrock,0.982
133.258,bedrock,0.978
133.973,bedrock,0.981
134.532,bedrock,0.982
135.137,bedrock,0.977
135.725,bedrock,0.975
136.434,bedrock,0.971
137.032,bedrock,0.967
137.595,bedrock,0.96
138.145,bedrock,0.927
138.592,bedrock,0.835
139.184,bedrock,0.821
139.672,bedrock,0.663
140.154,bedrock,0.64
140.666,bedrock,0.708
141.293,bedrock,0.627
141.915,soil,0.503
142.384,bedrock,0.543
142.904,soil,0.582
143.597,soil,0.671
144.163,soil,0.551
144.748,soil,0.621
145.593,soil,0.525
146.148,bedrock,0.625
146.707,bedrock,0.629
147.252,bedrock,0.727
147.688,bedrock,0.625
148.272,bedrock,0.542
148.822,bedrock,0.608
149.389,bedrock,0.521
149.944,bedrock,0.6
150.577,bedrock,0.775
151.453,bedrock,0.737
152.236,bedrock,0.626
152.87,soil,0.525
153.5,bedrock,0.623
154.175,bedrock,0.869
154.895,bedrock,0.89
155.622,bedrock,0.807
157.8,bedrock,0.918
158.701,bedrock,0.9
159.384,bedrock,0.738
159.961,bedrock,0.744
